,chi2,Z,P,P.adjusted,comparisons
1,1018.978753,-1.239260981,0.107624432,1,P - PP
2,1018.978753,-0.799442877,0.212016828,1,P - PPP
4,1018.978753,10.80036732,1.71E-27,5.14E-25,P - PPR
7,1018.978753,5.955896702,1.29E-09,3.88E-07,P - PPS
11,1018.978753,11.85190956,1.05E-32,3.16E-30,P - PR
16,1018.978753,0.731209372,0.232325638,1,P - PRP
22,1018.978753,12.41077279,1.14E-35,3.43E-33,P - PRR
29,1018.978753,8.166050529,1.59E-16,4.78E-14,P - PS
37,1018.978753,1.173435956,0.120310513,1,P - PSP
46,1018.978753,4.851959264,6.11E-07,0.000183372,P - PSS
56,1018.978753,15.92422938,2.15E-57,6.45E-55,P - R
67,1018.978753,-0.057960716,0.47688996,1,P - RP
79,1018.978753,6.314655042,1.35E-10,4.06E-08,P - RPP
92,1018.978753,14.40602212,2.37E-47,7.11E-45,P - RPR
106,1018.978753,13.2260785,3.10E-40,9.31E-38,P - RR
121,1018.978753,7.030121767,1.03E-12,3.10E-10,P - RRP
137,1018.978753,13.38831372,3.54E-41,1.06E-38,P - RRR
154,1018.978753,7.149030338,4.37E-13,1.31E-10,P - RRS
172,1018.978753,5.342772537,4.58E-08,1.37E-05,P - RS
191,1018.978753,11.92787306,4.24E-33,1.27E-30,P - RSR
211,1018.978753,6.05360824,7.08E-10,2.12E-07,P - RSS
232,1018.978753,9.884266504,2.44E-23,7.31E-21,P - S
254,1018.978753,5.189600541,1.05E-07,3.16E-05,P - SS
277,1018.978753,4.962515134,3.48E-07,0.000104379,P - SSS
3,1018.978753,0.314619941,0.376525118,1,PP - PPP
5,1018.978753,10.98555095,2.24E-28,6.73E-26,PP - PPR
8,1018.978753,6.459473302,5.25E-11,1.58E-08,PP - PPS
12,1018.978753,11.69796188,6.53E-32,1.96E-29,PP - PR
17,1018.978753,1.725892324,0.042183393,1,PP - PRP
23,1018.978753,12.36805612,1.95E-35,5.84E-33,PP - PRR
30,1018.978753,8.416700759,1.94E-17,5.81E-15,PP - PS
38,1018.978753,2.149310143,0.015804911,1,PP - PSP
47,1018.978753,5.450315921,2.51E-08,7.54E-06,PP - PSS
57,1018.978753,15.21045398,1.51E-52,4.52E-50,PP - R
68,1018.978753,0.884295932,0.188268242,1,PP - RP
80,1018.978753,6.763733393,6.72E-12,2.02E-09,PP - RPP
93,1018.978753,14.19382663,5.00E-46,1.50E-43,PP - RPR
107,1018.978753,13.0411223,3.57E-39,1.07E-36,PP - RR
122,1018.978753,7.400603609,6.78E-14,2.03E-11,PP - RRP
138,1018.978753,13.23686704,2.69E-40,8.06E-38,PP - RRR
155,1018.978753,7.537807556,2.39E-14,7.17E-12,PP - RRS
173,1018.978753,5.901757729,1.80E-09,5.39E-07,PP - RS
192,1018.978753,11.99241504,1.95E-33,5.84E-31,PP - RSR
212,1018.978753,6.549973476,2.88E-11,8.63E-09,PP - RSS
233,1018.978753,9.819135278,4.66E-23,1.40E-20,PP - S
255,1018.978753,5.763760442,4.11E-09,1.23E-06,PP - SS
278,1018.978753,5.522195533,1.67E-08,5.02E-06,PP - SSS
6,1018.978753,10.27037783,4.79E-25,1.44E-22,PPP - PPR
9,1018.978753,5.804553814,3.23E-09,9.68E-07,PPP - PPS
13,1018.978753,10.61412617,1.28E-26,3.84E-24,PPP - PR
18,1018.978753,1.323844397,0.092777364,1,PPP - PRP
24,1018.978753,11.42996736,1.48E-30,4.44E-28,PPP - PRR
31,1018.978753,7.550909627,2.16E-14,6.48E-12,PPP - PS
39,1018.978753,1.709133065,0.043713152,1,PPP - PSP
48,1018.978753,4.88010167,5.30E-07,0.000159047,PPP - PSS
58,1018.978753,13.80639435,1.17E-43,3.50E-41,PPP - R
69,1018.978753,0.573605347,0.283117446,1,PPP - RP
81,1018.978753,5.997901107,9.99E-10,3.00E-07,PPP - RPP
94,1018.978753,13.15998376,7.46E-40,2.24E-37,PPP - RPR
108,1018.978753,11.98807396,2.05E-33,6.16E-31,PPP - RR
123,1018.978753,6.593025908,2.15E-11,6.46E-09,PPP - RRP
139,1018.978753,12.22468686,1.15E-34,3.44E-32,PPP - RRR
156,1018.978753,6.801382049,5.18E-12,1.55E-09,PPP - RRS
174,1018.978753,5.277724309,6.54E-08,1.96E-05,PPP - RS
193,1018.978753,11.16398543,3.06E-29,9.18E-27,PPP - RSR
213,1018.978753,5.905883591,1.75E-09,5.26E-07,PPP - RSS
234,1018.978753,8.715073143,1.45E-18,4.36E-16,PPP - S
256,1018.978753,5.112804462,1.59E-07,4.76E-05,PPP - SS
279,1018.978753,5.057011402,2.13E-07,6.39E-05,PPP - SSS
10,1018.978753,-5.223093614,8.80E-08,2.64E-05,PPR - PPS
14,1018.978753,-1.845165604,0.032506726,1,PPR - PR
19,1018.978753,-9.268674056,9.42E-21,2.83E-18,PPR - PRP
25,1018.978753,-0.063778587,0.474573264,1,PPR - PRR
32,1018.978753,-4.426836419,4.78E-06,0.001434378,PPR - PS
40,1018.978753,-9.133998107,3.30E-20,9.90E-18,PPR - PSP
49,1018.978753,-5.744767771,4.60E-09,1.38E-06,PPR - PSS
59,1018.978753,0.458388359,0.323336727,1,PPR - R
70,1018.978753,-9.036412838,8.09E-20,2.43E-17,PPR - RP
82,1018.978753,-5.804611144,3.23E-09,9.68E-07,PPR - RPP
95,1018.978753,1.450084099,0.073517534,1,PPR - RPR
109,1018.978753,-0.038094892,0.484806012,1,PPR - RR
124,1018.978753,-5.297972887,5.85E-08,1.76E-05,PPR - RRP
140,1018.978753,0.463815703,0.321389896,1,PPR - RRR
157,1018.978753,-4.527511592,2.98E-06,0.000895235,PPR - RRS
175,1018.978753,-5.68119226,6.69E-09,2.01E-06,PPR - RS
194,1018.978753,0.295253449,0.383900137,1,PPR - RSR
214,1018.978753,-4.996673993,2.92E-07,8.75E-05,PPR - RSS
235,1018.978753,-4.270969714,9.73E-06,0.002919373,PPR - S
257,1018.978753,-6.137316946,4.20E-10,1.26E-07,PPR - SS
280,1018.978753,-4.409191067,5.19E-06,0.001556362,PPR - SSS
15,1018.978753,4.333578269,7.34E-06,0.002200576,PPS - PR
20,1018.978753,-4.589215141,2.22E-06,0.000667374,PPS - PRP
26,1018.978753,5.776994657,3.80E-09,1.14E-06,PPS - PRR
33,1018.978753,1.288620733,0.098764986,1,PPS - PS
41,1018.978753,-4.349013079,6.84E-06,0.002051273,PPS - PSP
50,1018.978753,-0.740133394,0.229609529,1,PPS - PSS
60,1018.978753,7.288550934,1.57E-13,4.70E-11,PPS - R
71,1018.978753,-4.706899721,1.26E-06,0.000377269,PPS - RP
83,1018.978753,-0.300559641,0.381875155,1,PPS - RPP
96,1018.978753,7.50701106,3.02E-14,9.07E-12,PPS - RPR
110,1018.978753,6.075014425,6.20E-10,1.86E-07,PPS - RR
125,1018.978753,0.29456516,0.38416304,1,PPS - RRP
141,1018.978753,6.478471749,4.63E-11,1.39E-08,PPS - RRR
158,1018.978753,0.888322511,0.187183647,1,PPS - RRS
176,1018.978753,-0.526829505,0.299155996,1,PPS - RS
195,1018.978753,5.841145993,2.59E-09,7.78E-07,PPS - RSR
215,1018.978753,0.189954124,0.42467254,1,PPS - RSS
236,1018.978753,1.910528796,0.028032581,1,PPS - S
258,1018.978753,-0.899119832,0.184294418,1,PPS - SS
281,1018.978753,0.169932961,0.432531429,1,PPS - SSS
21,1018.978753,-9.410497389,2.47E-21,7.41E-19,PR - PRP
27,1018.978753,2.021442854,0.021616971,1,PR - PRR
34,1018.978753,-3.327925896,0.000437476,0.131242705,PR - PS
42,1018.978753,-9.299707632,7.04E-21,2.11E-18,PR - PSP
51,1018.978753,-4.970347829,3.34E-07,0.000100249,PR - PSS
61,1018.978753,3.08972002,0.001001726,0.300517884,PR - R
72,1018.978753,-8.905098048,2.67E-19,8.00E-17,PR - RP
84,1018.978753,-5.105446567,1.65E-07,4.95E-05,PR - RPP
97,1018.978753,3.885143882,5.11E-05,0.015340395,PR - RPR
111,1018.978753,2.165587897,0.015171346,1,PR - RR
126,1018.978753,-4.45153947,4.26E-06,0.001278853,PR - RRP
142,1018.978753,2.715074351,0.003313045,0.99391339,PR - RRR
159,1018.978753,-3.464597347,0.000265513,0.079653886,PR - RRS
177,1018.978753,-4.90360967,4.70E-07,0.000141137,PR - RS
196,1018.978753,2.314973168,0.0103072,1,PR - RSR
216,1018.978753,-4.051414987,2.55E-05,0.007636323,PR - RSS
237,1018.978753,-3.114081451,0.000922593,0.276777816,PR - S
259,1018.978753,-5.495473109,1.95E-08,5.84E-06,PR - SS
282,1018.978753,-3.381711532,0.000360179,0.108053621,PR - SSS
28,1018.978753,10.3443011,2.22E-25,6.66E-23,PRP - PRR
35,1018.978753,6.283285314,1.66E-10,4.97E-08,PRP - PS
43,1018.978753,0.360008046,0.359420558,1,PRP - PSP
