,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,1,1,5.14E-25,3.88E-07,3.16E-30,1,3.43E-33,4.78E-14,1,0.000183372,6.45E-55,1,4.06E-08,7.11E-45,9.31E-38,3.10E-10,1.06E-38,1.31E-10,1.37E-05,1.27E-30,2.12E-07,7.31E-21,3.16E-05,0.000104379
PP,1,1,1,6.73E-26,1.58E-08,1.96E-29,1,5.84E-33,5.81E-15,1,7.54E-06,4.52E-50,1,2.02E-09,1.50E-43,1.07E-36,2.03E-11,8.06E-38,7.17E-12,5.39E-07,5.84E-31,8.63E-09,1.40E-20,1.23E-06,5.02E-06
PPP,1,1,1,1.44E-22,9.68E-07,3.84E-24,1,4.44E-28,6.48E-12,1,0.000159047,3.50E-41,1,3.00E-07,2.24E-37,6.16E-31,6.46E-09,3.44E-32,1.55E-09,1.96E-05,9.18E-27,5.26E-07,4.36E-16,4.76E-05,6.39E-05
PPR,5.14E-25,6.73E-26,1.44E-22,1.00E+00,2.64E-05,1,2.83E-18,1,0.001434378,9.90E-18,1.38E-06,1,2.43E-17,9.68E-07,1,1,1.76E-05,1,0.000895235,2.01E-06,1,8.75E-05,0.002919373,1.26E-07,0.001556362
PPS,3.88E-07,1.58E-08,9.68E-07,2.64E-05,1.00E+00,0.002200576,0.000667374,1.14E-06,1,0.002051273,1,4.70E-11,0.000377269,1,9.07E-12,1.86E-07,1,1.39E-08,1,1,7.78E-07,1,1,1,1
PR,3.16E-30,1.96E-29,3.84E-24,1,0.002200576,1.00E+00,7.41E-19,1,0.131242705,2.11E-18,0.000100249,0.300517884,8.00E-17,4.95E-05,0.015340395,1,0.001278853,0.99391339,0.079653886,0.000141137,1,0.007636323,0.276777816,5.84E-06,0.108053621
PRP,1,1,1,2.83E-18,0.000667374,7.41E-19,1,6.66E-23,4.97E-08,1,0.034281641,1.90E-34,1,0.000411302,1.49E-31,2.37E-25,1.76E-05,1.22E-26,3.53E-06,0.007599765,6.20E-22,0.000371649,2.40E-11,0.018266908,0.008918659
PRR,3.43E-33,5.84E-33,4.44E-28,1,1.14E-06,1,6.66E-23,1,0.000107557,1.94E-22,3.81E-08,1,7.37E-21,9.77E-09,1,1,3.91E-07,1,7.96E-05,4.76E-08,1,5.44E-06,0.000171771,1.14E-09,0.000330147
PS,4.78E-14,5.81E-15,6.48E-12,0.001434378,1,0.131242705,4.97E-08,0.000107557,1,1.79E-07,1,8.17E-09,1.06E-07,1,1.41E-09,2.19E-05,1,1.75E-06,1,1,6.47E-05,1,1,1,1
PSP,1,1,1,9.90E-18,0.002051273,2.11E-18,1,1.94E-22,1.79E-07,1.00E+00,0.090907872,1.94E-34,1,0.001345057,3.18E-31,5.82E-25,6.07E-05,3.04E-26,1.20E-05,0.021777471,1.99E-21,0.00114716,8.16E-11,0.052011118,0.022595677
PSS,0.000183372,7.54E-06,0.000159047,1.38E-06,1,0.000100249,0.034281641,3.81E-08,1,0.090907872,1,7.64E-13,0.014120856,1,1.83E-13,5.09E-09,1,3.58E-10,1,1,2.91E-08,1,1,1,1
R,6.45E-55,4.52E-50,3.50E-41,1,4.70E-11,0.300517884,1.90E-34,1,8.17E-09,1.94E-34,7.64E-13,1.00E+00,3.19E-29,4.60E-15,1,1,1.28E-12,1,1.58E-08,4.91E-13,1,6.02E-10,2.44E-09,8.37E-16,1.49E-06
RP,1,1,1,2.43E-17,0.000377269,8.00E-17,1,7.37E-21,1.06E-07,1,0.014120856,3.19E-29,1.00E+00,0.000287949,2.99E-28,1.20E-22,1.79E-05,6.07E-24,3.51E-06,0.003542429,2.39E-20,0.000214854,3.04E-10,0.008298767,0.003585465
