,chi2,Z,P,P.adjusted,comparisons
1,1086.096864,-0.798916865,0.21216931,1,P - PP
2,1086.096864,0.540731581,0.294346304,1,P - PPP
4,1086.096864,11.01368396,1.64E-28,4.92E-26,P - PPR
7,1086.096864,7.48259422,3.64E-14,1.09E-11,P - PPS
11,1086.096864,13.41735439,2.39E-41,7.18E-39,P - PR
16,1086.096864,2.713945386,0.003324356,0.997306893,P - PRP
22,1086.096864,12.74161584,1.74E-37,5.21E-35,P - PRR
29,1086.096864,8.228443284,9.48E-17,2.84E-14,P - PS
37,1086.096864,2.742958472,0.003044419,0.913325779,P - PSP
46,1086.096864,6.294603658,1.54E-10,4.62E-08,P - PSS
56,1086.096864,17.07650217,1.11E-65,3.33E-63,P - R
67,1086.096864,0.822065412,0.205519835,1,P - RP
79,1086.096864,5.099976018,1.70E-07,5.10E-05,P - RPP
92,1086.096864,15.14177208,4.29E-52,1.29E-49,P - RPR
106,1086.096864,16.01960311,4.66E-58,1.40E-55,P - RR
121,1086.096864,7.931810574,1.08E-15,3.24E-13,P - RRP
137,1086.096864,14.57343465,2.07E-48,6.22E-46,P - RRR
154,1086.096864,6.644413224,1.52E-11,4.57E-09,P - RRS
172,1086.096864,6.572649472,2.47E-11,7.41E-09,P - RS
191,1086.096864,12.96048309,1.02E-38,3.07E-36,P - RSR
211,1086.096864,6.332400556,1.21E-10,3.62E-08,P - RSS
232,1086.096864,9.605000391,3.81E-22,1.14E-19,P - S
254,1086.096864,6.477352001,4.67E-11,1.40E-08,P - SS
277,1086.096864,5.268610078,6.87E-08,2.06E-05,P - SSS
3,1086.096864,1.163495065,0.12231435,1,PP - PPP
5,1086.096864,10.86763454,8.22E-28,2.47E-25,PP - PPR
8,1086.096864,7.478015227,3.77E-14,1.13E-11,PP - PPS
12,1086.096864,12.68788854,3.45E-37,1.04E-34,PP - PR
17,1086.096864,3.143470268,0.000834787,0.250436064,PP - PRP
23,1086.096864,12.31139375,3.93E-35,1.18E-32,PP - PRR
30,1086.096864,8.068945471,3.55E-16,1.06E-13,PP - PS
38,1086.096864,3.173395147,0.000753337,0.226000968,PP - PSP
47,1086.096864,6.414979237,7.04E-11,2.11E-08,PP - PSS
57,1086.096864,15.802685,1.49E-56,4.47E-54,PP - R
68,1086.096864,1.367126432,0.08579284,1,PP - RP
80,1086.096864,5.27643463,6.59E-08,1.98E-05,PP - RPP
93,1086.096864,14.50767791,5.42E-48,1.62E-45,PP - RPR
107,1086.096864,15.19294239,1.97E-52,5.91E-50,PP - RR
122,1086.096864,7.797182308,3.17E-15,9.50E-13,PP - RRP
138,1086.096864,13.95137379,1.54E-44,4.63E-42,PP - RRR
155,1086.096864,6.702863092,1.02E-11,3.07E-09,PP - RRS
173,1086.096864,6.650303018,1.46E-11,4.39E-09,PP - RS
192,1086.096864,12.61243657,9.02E-37,2.70E-34,PP - RSR
212,1086.096864,6.44059462,5.95E-11,1.79E-08,PP - RSS
233,1086.096864,9.132915809,3.33E-20,1.00E-17,PP - S
255,1086.096864,6.539943241,3.08E-11,9.23E-09,PP - SS
278,1086.096864,5.503296124,1.86E-08,5.59E-06,PP - SSS
6,1086.096864,9.460111622,1.54E-21,4.61E-19,PPP - PPR
9,1086.096864,5.964824535,1.22E-09,3.67E-07,PPP - PPS
13,1086.096864,10.67192624,6.89E-27,2.07E-24,PPP - PR
18,1086.096864,1.843010489,0.03266374,1,PPP - PRP
24,1086.096864,10.59535198,1.57E-26,4.70E-24,PPP - PRR
31,1086.096864,6.360580662,1.00E-10,3.01E-08,PPP - PS
39,1086.096864,1.834381363,0.033298702,1,PPP - PSP
48,1086.096864,5.018370437,2.61E-07,7.82E-05,PPP - PSS
