,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,1,1,4.92E-26,1.09E-11,7.18E-39,0.997306893,5.21E-35,2.84E-14,0.913325779,4.62E-08,3.33E-63,1,5.10E-05,1.29E-49,1.40E-55,3.24E-13,6.22E-46,4.57E-09,7.41E-09,3.07E-36,3.62E-08,1.14E-19,1.40E-08,2.06E-05
PP,1,1,1,2.47E-25,1.13E-11,1.04E-34,0.250436064,1.18E-32,1.06E-13,0.226000968,2.11E-08,4.47E-54,1,1.98E-05,1.62E-45,5.91E-50,9.50E-13,4.63E-42,3.07E-09,4.39E-09,2.70E-34,1.79E-08,1.00E-17,9.23E-09,5.59E-06
PPP,1,1,1,4.61E-19,3.67E-07,2.07E-24,1,4.70E-24,3.01E-08,1,7.82E-05,4.23E-39,1,0.027823894,1.20E-34,1.33E-37,1.66E-07,1.46E-31,3.03E-05,3.28E-05,4.59E-26,8.05E-05,1.38E-10,8.07E-05,0.001917979
PPR,4.92E-26,2.47E-25,4.61E-19,1,0.002886867,1,1.90E-13,1,0.000682322,3.93E-14,0.000201711,1,2.35E-15,9.79E-10,1,1,0.00017393,1,5.26E-05,0.000109428,1,9.77E-05,0.000448764,1.04E-05,0.002268777
PPS,1.09E-11,1.13E-11,3.67E-07,0.002886867,1,0.003697759,0.003454063,0.000254834,1,0.001692166,1,2.09E-09,4.55E-05,0.937489522,9.81E-10,1.59E-10,1,8.38E-08,1,1,4.28E-06,1,1,1,1
PR,7.18E-39,1.04E-34,2.07E-24,1,0.003697759,1,7.94E-17,1,0.000394996,4.30E-18,0.000161403,1,3.58E-18,2.96E-12,0.140845962,0.093503193,6.16E-05,1,2.11E-05,6.16E-05,1,5.90E-05,0.000114983,2.20E-06,0.004745161
PRP,0.997306893,0.250436064,1,1.90E-13,0.003454063,7.94E-17,1,3.72E-17,0.000995172,1,0.133211531,2.00E-29,1,1,1.73E-26,8.11E-29,0.003636246,1.24E-23,0.094016679,0.088285978,2.93E-19,0.150439099,3.88E-05,0.205067928,0.60062818
PRR,5.21E-35,1.18E-32,4.70E-24,1,0.000254834,1,3.72E-17,1,2.77E-05,3.35E-18,1.12E-05,1,9.56E-19,7.87E-13,1,1,4.61E-06,1,1.54E-06,4.34E-06,1,4.14E-06,9.27E-06,1.79E-07,0.000378356
PS,2.84E-14,1.06E-13,3.01E-08,0.000682322,1,0.000394996,0.000995172,2.77E-05,1,0.000402054,1,7.13E-12,1.11E-05,0.539221309,1.40E-11,1.05E-12,1,2.16E-09,1,1,3.37E-07,1,1,1,1
PSP,0.913325779,0.226000968,1,3.93E-14,0.001692166,4.30E-18,1,3.35E-18,0.000402054,1,0.083508761,1.14E-31,1,1,5.13E-28,1.28E-30,0.001591988,4.63E-25,0.055199616,0.05253323,2.76E-20,0.093672115,1.03E-05,0.124676707,0.444435912
PSS,4.62E-08,2.11E-08,7.82E-05,0.000201711,1,0.000161403,0.133211531,1.12E-05,1,0.083508761,1,3.33E-11,0.00264138,1,2.07E-11,2.81E-12,1,2.09E-09,1,1,1.61E-07,1,1,1,1
