,chi2,Z,P,P.adjusted,comparisons
1,196.1143591,-1.615364112,0.053115934,1,P - PP
2,196.1143591,-4.482204523,3.69E-06,0.001108138,P - PPP
4,196.1143591,0.676951662,0.249218312,1,P - PPR
7,196.1143591,-3.220181055,0.000640548,0.192164487,P - PPS
11,196.1143591,-2.92278651,0.001734571,0.520371434,P - PR
16,196.1143591,-6.103422357,5.19E-10,1.56E-07,P - PRP
22,196.1143591,0.486808703,0.313196951,1,P - PRR
29,196.1143591,-0.560371554,0.287613015,1,P - PS
37,196.1143591,-5.826046935,2.84E-09,8.51E-07,P - PSP
46,196.1143591,-3.047800491,0.001152615,0.34578438,P - PSS
56,196.1143591,-2.319890681,0.010173396,1,P - R
67,196.1143591,-2.458767982,0.006970734,1,P - RP
79,196.1143591,0.87805266,0.189957571,1,P - RPP
92,196.1143591,-1.837917281,0.033037298,1,P - RPR
106,196.1143591,-7.532076158,2.50E-14,7.49E-12,P - RR
121,196.1143591,-1.740351095,0.040898694,1,P - RRP
137,196.1143591,-2.63293313,0.004232551,1,P - RRR
154,196.1143591,0.986075657,0.162047994,1,P - RRS
172,196.1143591,-2.471909352,0.006719679,1,P - RS
191,196.1143591,-2.252062956,0.012159147,1,P - RSR
211,196.1143591,-0.405080264,0.342709257,1,P - RSS
232,196.1143591,0.5891958,0.277864967,1,P - S
254,196.1143591,-2.71500472,0.003313741,0.994122389,P - SS
277,196.1143591,-0.446262197,0.32770393,1,P - SSS
3,196.1143591,-2.71914645,0.003272531,0.981759337,PP - PPP
5,196.1143591,1.796421742,0.036213734,1,PP - PPR
8,196.1143591,-1.571173198,0.058071212,1,PP - PPS
12,196.1143591,-1.11918861,0.131529842,1,PP - PR
17,196.1143591,-4.140655501,1.73E-05,0.005194721,PP - PRP
23,196.1143591,1.763898057,0.038874572,1,PP - PRR
30,196.1143591,0.980130304,0.163510901,1,PP - PS
38,196.1143591,-3.818316651,6.72E-05,0.020154809,PP - PSP
47,196.1143591,-1.482450664,0.069110211,1,PP - PSS
57,196.1143591,-0.493271133,0.310910511,1,PP - R
68,196.1143591,-1.057550063,0.14513031,1,PP - RP
80,196.1143591,2.27117833,0.011568092,1,PP - RPP
93,196.1143591,-0.363362979,0.358166877,1,PP - RPR
107,196.1143591,-5.434430261,2.75E-08,8.25E-06,PP - RR
122,196.1143591,-0.059584663,0.476243217,1,PP - RRP
138,196.1143591,-1.057841619,0.145063827,1,PP - RRR
155,196.1143591,2.279523828,0.011317973,1,PP - RRS
173,196.1143591,-0.890523494,0.18659243,1,PP - RS
192,196.1143591,-0.85206573,0.197088806,1,PP - RSR
212,196.1143591,0.965053772,0.16725894,1,PP - RSS
233,196.1143591,2.139975816,0.016178361,1,PP - S
255,196.1143591,-1.035652661,0.150182107,1,PP - SS
278,196.1143591,0.704713485,0.240494279,1,PP - SSS
6,196.1143591,3.95519479,3.82E-05,0.011470848,PPP - PPR
9,196.1143591,1.084398948,0.139093975,1,PPP - PPS
13,196.1143591,1.732932851,0.041553802,1,PPP - PR
18,196.1143591,-1.285854855,0.099246861,1,PPP - PRP
24,196.1143591,4.172874251,1.50E-05,0.004511714,PPP - PRR
31,196.1143591,3.687758856,0.000113119,0.033935685,PPP - PS
39,196.1143591,-0.90659582,0.182310287,1,PPP - PSP
48,196.1143591,1.081373969,0.139765398,1,PPP - PSS
58,196.1143591,2.425637311,0.007640767,1,PPP - R
69,196.1143591,1.327341913,0.092197803,1,PPP - RP
81,196.1143591,4.909426623,4.57E-07,0.000137015,PPP - RPP
94,196.1143591,2.157179257,0.01549585,1,PPP - RPR
108,196.1143591,-2.505194726,0.0061192,1,PPP - RR
123,196.1143591,2.731439918,0.003152912,0.945873562,PPP - RRP
139,196.1143591,1.542281811,0.061502563,1,PPP - RRR
156,196.1143591,4.764951565,9.44E-07,0.000283349,PPP - RRS
174,196.1143591,1.727354541,0.042052005,1,PPP - RS
193,196.1143591,1.542829739,0.061436046,1,PPP - RSR
213,196.1143591,3.44261917,0.000288055,0.086416496,PPP - RSS
234,196.1143591,4.986351503,3.08E-07,9.23E-05,PPP - S
256,196.1143591,1.686328592,0.045866263,1,PPP - SS
279,196.1143591,2.839852095,0.002256723,0.677016828,PPP - SSS
10,196.1143591,-3.012267932,0.001296518,0.388955426,PPR - PPS
14,196.1143591,-2.716695417,0.003296863,0.989058852,PPR - PR
19,196.1143591,-5.123705686,1.50E-07,4.49E-05,PPR - PRP
25,196.1143591,-0.224850394,0.41104783,1,PPR - PRR
32,196.1143591,-1.039859074,0.149202689,1,PPR - PS
40,196.1143591,-4.863639005,5.76E-07,0.000172871,PPR - PSP
49,196.1143591,-2.911581523,0.00179802,0.539406082,PPR - PSS
59,196.1143591,-2.261213781,0.011873011,1,PPR - R
70,196.1143591,-2.497001357,0.006262424,1,PPR - RP
82,196.1143591,-0.022326161,0.49109389,1,PPR - RPP
95,196.1143591,-1.988698085,0.023367269,1,PPR - RPR
109,196.1143591,-6.179123064,3.22E-10,9.67E-08,PPR - RR
124,196.1143591,-1.876477402,0.030294877,1,PPR - RRP
140,196.1143591,-2.580671364,0.00493042,1,PPR - RRR
157,196.1143591,0.113657907,0.454754491,1,PPR - RRS
175,196.1143591,-2.453193157,0.007079714,1,PPR - RS
194,196.1143591,-2.331080281,0.009874563,1,PPR - RSR
214,196.1143591,-0.904665355,0.18282135,1,PPR - RSS
235,196.1143591,-0.287905259,0.386709631,1,PPR - S
257,196.1143591,-2.607146439,0.004565015,1,PPR - SS
280,196.1143591,-0.892958243,0.185939767,1,PPR - SSS
15,196.1143591,0.559609327,0.287872971,1,PPS - PR
20,196.1143591,-2.390524697,0.008412159,1,PPS - PRP
26,196.1143591,3.116793482,0.000914148,0.274244399,PPS - PRR
33,196.1143591,2.517846456,0.005903739,1,PPS - PS
41,196.1143591,-2.038370546,0.020756445,1,PPS - PSP
50,196.1143591,0.031409202,0.487471601,1,PPS - PSS
60,196.1143591,1.207982558,0.113526986,1,PPS - R
71,196.1143591,0.340845048,0.366610118,1,PPS - RP
83,196.1143591,3.732756645,9.47E-05,0.028409334,PPS - RPP
96,196.1143591,1.101098488,0.135426897,1,PPS - RPR
110,196.1143591,-3.609864567,0.000153178,0.045953538,PPS - RR
125,196.1143591,1.55476994,0.060000435,1,PPS - RRP
141,196.1143591,0.468781622,0.319612869,1,PPS - RRR
158,196.1143591,3.660281724,0.000125969,0.037790714,PPS - RRS
176,196.1143591,0.642955593,0.260126457,1,PPS - RS
195,196.1143591,0.548424025,0.291700392,1,PPS - RSR
215,196.1143591,2.374776904,0.00877978,1,PPS - RSS
236,196.1143591,3.715135667,0.000101547,0.030464205,PPS - S
258,196.1143591,0.56318897,0.286653107,1,PPS - SS
281,196.1143591,1.926854665,0.026998872,1,PPS - SSS
21,196.1143591,-3.166844464,0.000770514,0.231154074,PR - PRP
27,196.1143591,2.815026224,0.002438663,0.731598806,PR - PRR
34,196.1143591,2.150893968,0.015742285,1,PR - PS
42,196.1143591,-2.811090294,0.002468696,0.740608917,PR - PSP
51,196.1143591,-0.505166437,0.306720971,1,PR - PSS
61,196.1143591,0.694302573,0.243746239,1,PR - R
72,196.1143591,-0.138270587,0.445013285,1,PR - RP
84,196.1143591,3.48481506,0.000246239,0.073871595,PR - RPP
97,196.1143591,0.643571188,0.259926769,1,PR - RPR
111,196.1143591,-4.490445222,3.55E-06,0.001066117,PR - RR
126,196.1143591,1.091701949,0.137482064,1,PR - RRP
142,196.1143591,-0.046681953,0.481383357,1,PR - RRR
159,196.1143591,3.401342271,0.000335279,0.100583719,PR - RRS
177,196.1143591,0.136070915,0.44588261,1,PR - RS
196,196.1143591,0.079160988,0.468452287,1,PR - RSR
216,196.1143591,2.01325065,0.022044134,1,PR - RSS
237,196.1143591,3.476674503,0.000253837,0.076151061,PR - S
259,196.1143591,0.0299574,0.488050514,1,PR - SS
282,196.1143591,1.575036643,0.057623993,1,PR - SSS
28,196.1143591,5.497810047,1.92E-08,5.77E-06,PRP - PRR
35,196.1143591,5.159934564,1.24E-07,3.71E-05,PRP - PS
43,196.1143591,0.419195729,0.337536547,1,PRP - PSP
52,196.1143591,2.34384958,0.009542933,1,PRP - PSS
62,196.1143591,3.934259299,4.17E-05,0.012518048,PRP - R
73,196.1143591,2.513754835,0.005972672,1,PRP - RP
85,196.1143591,6.417987748,6.90E-11,2.07E-08,PRP - RPP
98,196.1143591,3.446429399,0.000284023,0.085207046,PRP - RPR
112,196.1143591,-1.243018583,0.106930493,1,PRP - RR
127,196.1143591,4.191822808,1.38E-05,0.004150831,PRP - RRP
143,196.1143591,2.84297075,0.002234759,0.670427582,PRP - RRR
160,196.1143591,6.168308778,3.45E-10,1.04E-07,PRP - RRS
178,196.1143591,3.045499192,0.001161472,0.348441604,PRP - RS
197,196.1143591,2.742592998,0.003047809,0.914342796,PRP - RSR
217,196.1143591,4.770468331,9.19E-07,0.000275697,PRP - RSS
238,196.1143591,6.633949231,1.63E-11,4.90E-09,PRP - S
260,196.1143591,3.053837513,0.001129672,0.338901624,PRP - SS
283,196.1143591,3.953888845,3.84E-05,0.011533671,PRP - SSS
36,196.1143591,-0.90665969,0.182293393,1,PRR - PS
44,196.1143591,-5.22608939,8.66E-08,2.60E-05,PRR - PSP
53,196.1143591,-2.992056903,0.001385523,0.41565691,PRR - PSS
63,196.1143591,-2.307896753,0.01050244,1,PRR - R
74,196.1143591,-2.514657093,0.00595741,1,PRR - RP
86,196.1143591,0.252128454,0.400470888,1,PRR - RPP
99,196.1143591,-1.96566995,0.024668374,1,PRR - RPR
113,196.1143591,-6.684154621,1.16E-11,3.48E-09,PRR - RR
128,196.1143591,-1.859348832,0.031488855,1,PRR - RRP
144,196.1143591,-2.630284518,0.004265672,1,PRR - RRR
161,196.1143591,0.389261753,0.348541263,1,PRR - RRS
179,196.1143591,-2.490628141,0.006375875,1,PRR - RS
198,196.1143591,-2.333619574,0.009807825,1,PRR - RSR
218,196.1143591,-0.757035961,0.224514159,1,PRR - RSS
239,196.1143591,-0.035288284,0.485924933,1,PRR - S
261,196.1143591,-2.674651957,0.003740343,1,PRR - SS
284,196.1143591,-0.75328629,0.225638948,1,PRR - SSS
45,196.1143591,-4.86267835,5.79E-07,0.000173712,PS - PSP
54,196.1143591,-2.391786502,0.008383296,1,PS - PSS
64,196.1143591,-1.557680585,0.059654493,1,PS - R
75,196.1143591,-1.896195153,0.028967122,1,PS - RP
87,196.1143591,1.314279223,0.094376128,1,PS - RPP
100,196.1143591,-1.258858519,0.104040719,1,PS - RPR
114,196.1143591,-6.479516984,4.60E-11,1.38E-08,PS - RR
129,196.1143591,-1.070394176,0.14222096,1,PS - RRP
145,196.1143591,-1.983543006,0.023653404,1,PS - RRR
162,196.1143591,1.388311725,0.082521072,1,PS - RRS
180,196.1143591,-1.824188717,0.034061773,1,PS - RS
199,196.1143591,-1.695256909,0.045013348,1,PS - RSR
219,196.1143591,0.082438581,0.467148979,1,PS - RSS
240,196.1143591,1.090469723,0.137753142,1,PS - S
262,196.1143591,-2.012228216,0.022097943,1,PS - SS
285,196.1143591,-0.040123577,0.483997303,1,PS - SSS
55,196.1143591,2.000850256,0.022704265,1,PSP - PSS
65,196.1143591,3.591687283,0.000164272,0.049281592,PSP - R
76,196.1143591,2.193260579,0.014144305,1,PSP - RP
88,196.1143591,6.156607953,3.72E-10,1.11E-07,PSP - RPP
101,196.1143591,3.127156152,0.000882531,0.264759229,PSP - RPR
115,196.1143591,-1.693956065,0.045136816,1,PSP - RR
130,196.1143591,3.865247057,5.55E-05,0.016646521,PSP - RRP
146,196.1143591,2.504910355,0.006124122,1,PSP - RRR
163,196.1143591,5.906627134,1.75E-09,5.24E-07,PSP - RRS
181,196.1143591,2.709415914,0.003370089,1,PSP - RS
200,196.1143591,2.424433703,0.007666141,1,PSP - RSR
220,196.1143591,4.479719802,3.74E-06,0.001121116,PSP - RSS
241,196.1143591,6.374379626,9.19E-11,2.76E-08,PSP - S
263,196.1143591,2.707792025,0.003386623,1,PSP - SS
286,196.1143591,3.679699824,0.000116754,0.035026298,PSP - SSS
66,196.1143591,1.125219281,0.130248062,1,PSS - R
77,196.1143591,0.303085721,0.380912268,1,PSS - RP
89,196.1143591,3.560458261,0.000185104,0.055531223,PSS - RPP
102,196.1143591,1.037217173,0.149817328,1,PSS - RPR
116,196.1143591,-3.523080549,0.000213281,0.063984255,PSS - RR
131,196.1143591,1.463227437,0.071702578,1,PSS - RRP
147,196.1143591,0.423066829,0.336123252,1,PSS - RRR
164,196.1143591,3.507921935,0.000225811,0.067743233,PSS - RRS
182,196.1143591,0.591129874,0.277216702,1,PSS - RS
201,196.1143591,0.504722237,0.30687697,1,PSS - RSR
221,196.1143591,2.270589404,0.011585923,1,PSS - RSS
242,196.1143591,3.519423357,0.000216243,0.064872896,PSS - S
264,196.1143591,0.511612626,0.304461074,1,PSS - SS
287,196.1143591,1.856189716,0.031713261,1,PSS - SSS
78,196.1143591,-0.700610864,0.241772948,1,R - RP
90,196.1143591,2.949756172,0.001590124,0.477037205,R - RPP
103,196.1143591,0.059570134,0.476249003,1,R - RPR
117,196.1143591,-5.310226473,5.47E-08,1.64E-05,R - RR
132,196.1143591,0.445489269,0.327983106,1,R - RRP
148,196.1143591,-0.667714514,0.252157922,1,R - RRR
165,196.1143591,2.89378858,0.001903122,0.570936525,R - RRS
183,196.1143591,-0.486017698,0.313477309,1,R - RS
202,196.1143591,-0.482015786,0.314897366,1,R - RSR
222,196.1143591,1.471257347,0.070610767,1,R - RSS
243,196.1143591,2.900811134,0.001860991,0.558297202,R - S
265,196.1143591,-0.624696512,0.266085131,1,R - SS
288,196.1143591,1.10537963,0.134497563,1,R - SSS
91,196.1143591,2.980662063,0.00143813,0.431439004,RP - RPP
104,196.1143591,0.672740669,0.250556145,1,RP - RPR
118,196.1143591,-3.619418846,0.000147633,0.044289809,RP - RR
133,196.1143591,1.028935466,0.151755,1,RP - RRP
149,196.1143591,0.089193449,0.464464086,1,RP - RRR
166,196.1143591,2.972950764,0.001474759,0.442427641,RP - RRS
184,196.1143591,0.244063005,0.403591012,1,RP - RS
203,196.1143591,0.188961956,0.425061317,1,RP - RSR
223,196.1143591,1.829521041,0.033660795,1,RP - RSS
244,196.1143591,2.888431187,0.001935844,0.580753098,RP - S
266,196.1143591,0.158331465,0.437097808,1,RP - SS
289,196.1143591,1.504160841,0.066269979,1,RP - SSS
105,196.1143591,-2.429404757,0.007561819,1,RPP - RPR
119,196.1143591,-7.745532177,4.76E-15,1.43E-12,RPP - RR
134,196.1143591,-2.401408154,0.008166054,1,RPP - RRP
150,196.1143591,-3.180931915,0.000734011,0.22020319,RPP - RRR
167,196.1143591,0.169768914,0.432595937,1,RPP - RRS
185,196.1143591,-3.035092242,0.001202311,0.360693197,RPP - RS
204,196.1143591,-2.788805288,0.002645143,0.793542909,RPP - RSR
224,196.1143591,-1.095976794,0.136544465,1,RPP - RSS
245,196.1143591,-0.356611606,0.360691294,1,RPP - S
267,196.1143591,-3.276206142,0.000526059,0.157817605,RPP - SS
290,196.1143591,-1.025783148,0.152496906,1,RPP - SSS
