,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,1,0.001108138,1,0.192164487,0.520371434,1.56E-07,1,1,8.51E-07,0.34578438,1,1,1,1,7.49E-12,1,1,1,1,1,1,1,0.994122389,1
PP,1,1,0.981759337,1,1,1,0.005194721,1,1,0.020154809,1,1,1,1,1,8.25E-06,1,1,1,1,1,1,1,1,1
PPP,0.001108138,0.981759337,1,0.011470848,1,1,1,0.004511714,0.033935685,1,1,1,1,0.000137015,1,1,0.945873562,1,0.000283349,1,1,0.086416496,9.23E-05,1,0.677016828
PPR,1,1,0.011470848,1,0.388955426,0.989058852,4.49E-05,1,1,0.000172871,0.539406082,1,1,1,1,9.67E-08,1,1,1,1,1,1,1,1,1
PPS,0.192164487,1,1,0.388955426,1,1,1,0.274244399,1,1,1,1,1,0.028409334,1,0.045953538,1,1,0.037790714,1,1,1,0.030464205,1,1
PR,0.520371434,1,1,0.989058852,1,1,0.231154074,0.731598806,1,0.740608917,1,1,1,0.073871595,1,0.001066117,1,1,0.100583719,1,1,1,0.076151061,1,1
PRP,1.56E-07,0.005194721,1,4.49E-05,1,0.231154074,1,5.77E-06,3.71E-05,1,1,0.012518048,1,2.07E-08,0.085207046,1,0.004150831,0.670427582,1.04E-07,0.348441604,0.914342796,0.000275697,4.90E-09,0.338901624,0.011533671
PRR,1,1,0.004511714,1,0.274244399,0.731598806,5.77E-06,1,1,2.60E-05,0.41565691,1,1,1,1,3.48E-09,1,1,1,1,1,1,1,1,1
PS,1,1,0.033935685,1,1,1,3.71E-05,1,1,0.000173712,1,1,1,1,1,1.38E-08,1,1,1,1,1,1,1,1,1
PSP,8.51E-07,0.020154809,1,0.000172871,1,0.740608917,1,2.60E-05,0.000173712,1,1,0.049281592,1,1.11E-07,0.264759229,1,0.016646521,1,5.24E-07,1,1,0.001121116,2.76E-08,1,0.035026298
PSS,0.34578438,1,1,0.539406082,1,1,1,0.41565691,1,1,1,1,1,0.055531223,1,0.063984255,1,1,0.067743233,1,1,1,0.064872896,1,1
R,1,1,1,1,1,1,0.012518048,1,1,0.049281592,1,1,1,0.477037205,1,1.64E-05,1,1,0.570936525,1,1,1,0.558297202,1,1
RP,1,1,1,1,1,1,1,1,1,1,1,1,1,0.431439004,1,0.044289809,1,1,0.442427641,1,1,1,0.580753098,1,1
RPP,1,1,0.000137015,1,0.028409334,0.073871595,2.07E-08,1,1,1.11E-07,0.055531223,0.477037205,0.431439004,1,1.43E-12,1,0.22020319,1,0.360693197,0.793542909,1,1,0.157817605,1,
RPR,1,1,1,1,1,1,0.085207046,1,1,0.264759229,1,1,1,1,1,0.000541198,1,1,1,1,1,1,1,1,1
RR,7.49E-12,8.25E-06,1,9.67E-08,0.045953538,0.001066117,1,3.48E-09,1.38E-08,1,0.063984255,1.64E-05,0.044289809,1.43E-12,0.000541198,1,5.10E-06,0.007695775,1.88E-11,0.003000695,0.017189953,3.55E-07,1.02E-13,0.002356661,9.79E-05
RRP,1,1,0.945873562,1,1,1,0.004150831,1,1,0.016646521,1,1,1,1,1,5.10E-06,1,1,1,1,1,1,1,1,1
RRR,1,1,1,1,1,1,0.670427582,1,1,1,1,1,1,0.22020319,1,0.007695775,1,1,0.249332223,1,1,1,0.274412191,1,1
RRS,1,1,0.000283349,1,0.037790714,0.100583719,1.04E-07,1,1,5.24E-07,0.067743233,0.570936525,0.442427641,1,1,1.88E-11,1,0.249332223,1,0.397969069,0.791886688,1,1,0.191112551,1
RS,1,1,1,1,1,1,0.348441604,1,1,1,1,1,1,0.360693197,1,0.003000695,1,1,0.397969069,1,1,1,0.459345484,1,1
RSR,1,1,1,1,1,1,0.914342796,1,1,1,1,1,1,0.793542909,1,0.017189953,1,1,0.791886688,1,1,1,1,1,1
RSS,1,1,0.086416496,1,1,1,0.000275697,1,1,0.001121116,1,1,1,1,1,3.55E-07,1,1,1,1,1,1,1,1,1
S,1,1,9.23E-05,1,0.030464205,0.076151061,4.90E-09,1,1,2.76E-08,0.064872896,0.558297202,0.580753098,1,1,1.02E-13,1,0.274412191,1,0.459345484,1,1,1,0.184434248,1
SS,0.994122389,1,1,1,1,1,0.338901624,1,1,1,1,1,1,0.157817605,1,0.002356661,1,1,0.191112551,1,1,1,0.184434248,1,1
SSS,1,1,0.677016828,1,1,1,0.011533671,1,1,0.035026298,1,1,1,1,1,9.79E-05,1,1,1,1,1,1,1,1,1
