,chi2,Z,P,P.adjusted,comparisons
1,240.5807105,-4.196705044,1.35E-05,0.004062394,P - PP
2,240.5807105,-2.444825963,0.007246103,1,P - PPP
4,240.5807105,-4.953850561,3.64E-07,0.000109139,P - PPR
7,240.5807105,-5.660204196,7.56E-09,2.27E-06,P - PPS
11,240.5807105,-6.633333195,1.64E-11,4.92E-09,P - PR
16,240.5807105,-0.654149133,0.256507865,1,P - PRP
22,240.5807105,-3.967973341,3.62E-05,0.010872966,P - PRR
29,240.5807105,-6.467956742,4.97E-11,1.49E-08,P - PS
37,240.5807105,-2.206801481,0.013663966,1,P - PSP
46,240.5807105,-1.568923241,0.058332913,1,P - PSS
56,240.5807105,1.055056644,0.14569971,1,P - R
67,240.5807105,-4.46058502,4.09E-06,0.001226043,P - RP
79,240.5807105,-0.922823709,0.178049541,1,P - RPP
92,240.5807105,-0.669688878,0.251528071,1,P - RPR
106,240.5807105,-6.412249256,7.17E-11,2.15E-08,P - RR
121,240.5807105,-2.183221346,0.014509757,1,P - RRP
137,240.5807105,-2.884129622,0.001962486,0.588745739,P - RRR
154,240.5807105,-1.184405265,0.118126339,1,P - RRS
172,240.5807105,-5.607485892,1.03E-08,3.08E-06,P - RS
191,240.5807105,-6.118692782,4.72E-10,1.42E-07,P - RSR
211,240.5807105,-4.681368168,1.42E-06,0.00042745,P - RSS
232,240.5807105,-0.091651595,0.463487428,1,P - S
254,240.5807105,-2.047317611,0.020313455,1,P - SS
277,240.5807105,-2.434612069,0.007453881,1,P - SSS
3,240.5807105,1.813299311,0.034892835,1,PP - PPP
5,240.5807105,-0.637339947,0.261951718,1,PP - PPR
8,240.5807105,-1.273113394,0.101488903,1,PP - PPS
12,240.5807105,-2.250727145,0.012201412,1,PP - PR
17,240.5807105,3.408826014,0.000326215,0.097864614,PP - PRP
23,240.5807105,0.266082411,0.39508787,1,PP - PRR
30,240.5807105,-2.236164649,0.012670494,1,PP - PS
38,240.5807105,1.818081734,0.034525821,1,PP - PSP
47,240.5807105,2.654070472,0.003976361,1,PP - PSS
57,240.5807105,4.912922336,4.49E-07,0.000134593,PP - R
68,240.5807105,-0.354562008,0.361458871,1,PP - RP
80,240.5807105,3.004402167,0.001330517,0.399154985,PP - RPP
93,240.5807105,3.589732277,0.000165509,0.049652664,PP - RPR
107,240.5807105,-1.876745495,0.030276492,1,PP - RR
122,240.5807105,2.02425215,0.021472107,1,PP - RRP
138,240.5807105,1.391615672,0.082019405,1,PP - RRR
155,240.5807105,2.697143762,0.003496853,1,PP - RRS
173,240.5807105,-0.834940548,0.201875592,1,PP - RS
192,240.5807105,-1.632971712,0.051237473,1,PP - RSR
212,240.5807105,-0.293505563,0.384567874,1,PP - RSS
233,240.5807105,4.108795922,1.99E-05,0.00596591,PP - S
255,240.5807105,2.068249021,0.019308306,1,PP - SS
278,240.5807105,1.898107247,0.028840978,1,PP - SSS
6,240.5807105,-2.510455548,0.006028775,1,PPP - PPR
9,240.5807105,-3.185467088,0.000722603,0.216780812,PPP - PPS
13,240.5807105,-4.174622499,1.49E-05,0.004477209,PPP - PR
18,240.5807105,1.698328398,0.044722899,1,PPP - PRP
24,240.5807105,-1.559397409,0.059451175,1,PPP - PRR
