,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,0.004062394,1,0.000109139,0.00000227,4.92E-09,1,0.010872966,1.49E-08,1,1,1,0.001226043,1,1,2.15E-08,1,0.588745739,1,0.00000308,0.000000142,0.00042745,1,1,1
PP,0.004062394,1,1,1,1,1,0.097864614,1,1,1,1,0.000134593,1,0.399154985,0.049652664,1,1,1,1,1,1,1,0.00596591,1,1
PPP,1,1,1,1,0.216780812,0.004477209,1,1,0.006363864,1,1,0.142397874,1,1,1,0.01686478,1,1,1,0.548976338,0.049010064,1,1,1,1
PPR,0.000109139,1,1,1,1,1,0.00577108,1,1,1,0.112891211,0.00000285,1,0.035576708,0.002132564,1,0.98267769,1,0.120194215,1,1,1,0.000172574,0.898748133,1
PPS,0.00000227,1,0.216780812,1,1,1,0.000256812,1,1,0.278335516,0.007577563,5.22E-08,1,0.002408129,0.0000672,1,0.105225885,0.893247016,0.010430093,1,1,1,0.00000383,0.099706574,0.145374755
PR,4.92E-09,1,0.004477209,1,1,1,0.00000151,1,1,0.007659134,0.0000721,1.09E-10,1,0.0000255,0.000000239,1,0.001890121,0.027200233,0.000155973,1,1,1,9.02E-09,0.0019365,0.002510152
PRP,1,0.097864614,1,0.00577108,0.000256812,0.00000151,1,0.221816253,0.00000309,1,1,1,0.034303547,1,1,0.00000649,1,1,1,0.00052294,0.0000291,0.018753469,1,1,1
PRR,0.010872966,1,1,1,1,1,0.221816253,1,1,1,1,0.000381193,1,0.821676822,0.120172376,1,1,1,1,1,1,1,0.015729248,1,1
PS,1.49E-08,1,0.006363864,1,1,1,0.00000309,1,1,0.01014199,0.000126756,3.32E-10,1,0.0000431,0.000000592,1,0.002779212,0.035375717,0.000239064,1,1,1,2.64E-08,0.00278702,0.003737931
PSP,1,1,1,1,0.278335516,0.007659134,1,1,0.01014199,1,1,0.341785096,1,1,1,0.027177934,1,1,1,0.699710001,0.071704833,1,1,1,1
PSS,1,1,1,0.112891211,0.007577563,0.0000721,1,1,0.000126756,1,1,1,0.470227091,1,1,0.000300373,1,1,1,0.017595332,0.001136528,0.323168386,1,1,1
R,1,0.000134593,0.142397874,0.00000285,5.22E-08,1.09E-10,1,0.000381193,3.32E-10,0.341785096,1,1,0.0000391,1,1,4.73E-10,0.334868444,0.030969586,1,6.74E-08,3.12E-09,0.0000116,1,0.528213299,0.141887685
RP,0.001226043,1,1,1,1,1,0.034303547,1,1,1,0.470227091,0.0000391,1,0.154333668,0.016317191,1,1,1,0.434009031,1,1,1,0.001822717,1,1
RPP,1,0.399154985,1,0.035576708,0.002408129,0.0000255,1,0.821676822,0.0000431,1,1,1,0.154333668,1,1,0.000104033,1,1,1,0.005595449,0.000376823,0.10261082,1,1,1
RPR,1,0.049652664,1,0.002132564,0.0000672,0.000000239,1,0.120172376,0.000000592,1,1,1,0.016317191,1,1,0.00000105,1,1,1,0.000116166,0.00000572,0.007550914,1,1,1
RR,2.15E-08,1,0.01686478,1,1,1,0.00000649,1,1,0.027177934,0.000300373,4.73E-10,1,0.000104033,0.00000105,1,0.007264642,0.095624668,0.000608696,1,1,1,3.95E-08,0.007327565,0.009750491
RRP,1,1,1,0.98267769,0.105225885,0.001890121,1,1,0.002779212,1,1,0.334868444,1,1,1,0.007264642,1,1,1,0.26427758,0.022096085,1,1,1,1
RRR,0.588745739,1,1,1,0.893247016,0.027200233,1,1,0.035375717,1,1,0.030969586,1,1,1,0.095624668,1,1,1,1,0.24497003,1,0.782486026,1,1
RRS,1,1,1,0.120194215,0.010430093,0.000155973,1,1,0.000239064,1,1,1,0.434009031,1,1,0.000608696,1,1,1,0.025390047,0.001957832,0.320595358,1,1,1
RS,0.00000308,1,0.548976338,1,1,1,0.00052294,1,1,0.699710001,0.017595332,6.74E-08,1,0.005595449,0.000116166,1,0.26427758,1,0.025390047,1,1,1,0.00000543,0.250394057,0.366430871
RSR,0.000000142,1,0.049010064,1,1,1,0.0000291,1,1,0.071704833,0.001136528,3.12E-09,1,0.000376823,0.00000572,1,0.022096085,0.24497003,0.001957832,1,1,1,0.000000252,0.021683806,0.030116639
RSS,0.00042745,1,1,1,1,1,0.018753469,1,1,1,0.323168386,0.0000116,1,0.10261082,0.007550914,1,1,1,0.320595358,1,1,1,0.000665772,1,1
S,1,0.00596591,1,0.000172574,0.00000383,9.02E-09,1,0.015729248,2.64E-08,1,1,1,0.001822717,1,1,3.95E-08,1,0.782486026,1,0.00000543,0.000000252,0.000665772,1,1,1
SS,1,1,1,0.898748133,0.099706574,0.0019365,1,1,0.00278702,1,1,0.528213299,1,1,1,0.007327565,1,1,1,0.250394057,0.021683806,1,1,1,1
SSS,1,1,1,1,0.145374755,0.002510152,1,1,0.003737931,1,1,0.141887685,1,1,1,0.009750491,1,1,1,0.366430871,0.030116639,1,1,1,1
