,chi2,Z,P,P.adjusted,comparisons
1,629.1469389,0.583390437,0.279815247,1,P - PP
2,629.1469389,-0.05100213,0.479661912,1,P - PPP
3,629.1469389,-0.53683511,0.295690759,1,PP - PPP
4,629.1469389,-4.942419055,3.86E-07,0.000115739,P - PPR
5,629.1469389,-5.038894907,2.34E-07,7.02E-05,PP - PPR
6,629.1469389,-4.388443591,5.71E-06,0.001712471,PPP - PPR
7,629.1469389,-6.457503839,5.32E-11,1.60E-08,P - PPS
8,629.1469389,-6.364375399,9.80E-11,2.94E-08,PP - PPS
9,629.1469389,-5.504813415,1.85E-08,5.54E-06,PPP - PPS
10,629.1469389,-0.398204742,0.345239636,1,PPR - PPS
11,629.1469389,-7.586409529,1.64E-14,4.93E-12,P - PR
12,629.1469389,-7.294977676,1.49E-13,4.48E-11,PP - PR
13,629.1469389,-6.270929043,1.79E-10,5.38E-08,PPP - PR
14,629.1469389,-0.690278272,0.245009605,1,PPR - PR
15,629.1469389,-0.314701322,0.37649422,1,PPS - PR
16,629.1469389,0.049571009,0.480232125,1,P - PRP
17,629.1469389,-0.455860604,0.32424511,1,PP - PRP
18,629.1469389,0.086951296,0.465355113,1,PPP - PRP
19,629.1469389,4.525307728,3.02E-06,0.000904615,PPR - PRP
20,629.1469389,5.694667325,6.18E-09,1.85E-06,PPS - PRP
21,629.1469389,6.503217437,3.93E-11,1.18E-08,PR - PRP
22,629.1469389,-6.386490756,8.49E-11,2.55E-08,P - PRR
23,629.1469389,-6.320170538,1.31E-10,3.92E-08,PP - PRR
24,629.1469389,-5.494840981,1.96E-08,5.87E-06,PPP - PRR
25,629.1469389,-0.507333147,0.305960542,1,PPR - PRR
26,629.1469389,-0.133781204,0.446787795,1,PPS - PRR
27,629.1469389,0.161024415,0.436037086,1,PR - PRR
28,629.1469389,-5.676719469,6.87E-09,2.06E-06,PRP - PRR
29,629.1469389,-3.696036396,0.000109496,0.032848739,P - PS
30,629.1469389,-3.830084392,6.40E-05,0.019214898,PP - PS
31,629.1469389,-3.034911185,0.001203033,0.360909794,PPP - PS
32,629.1469389,2.054856349,0.019946441,1,PPR - PS
33,629.1469389,2.904000404,0.001842138,0.552641527,PPS - PS
34,629.1469389,3.531427745,0.000206661,0.061998415,PR - PS
35,629.1469389,-3.19535038,0.000698306,0.209491764,PRP - PS
36,629.1469389,2.960015659,0.001538117,0.461435109,PRR - PS
37,629.1469389,-0.667297572,0.252291038,1,P - PSP
38,629.1469389,-1.115205446,0.132381196,1,PP - PSP
39,629.1469389,-0.518494468,0.302056659,1,PPP - PSP
40,629.1469389,4.085076361,2.20E-05,0.006609349,PPR - PSP
41,629.1469389,5.226816065,8.62E-08,2.59E-05,PPS - PSP
42,629.1469389,6.030020779,8.20E-10,2.46E-07,PR - PSP
43,629.1469389,-0.619982187,0.267634757,1,PRP - PSP
44,629.1469389,5.217954344,9.05E-08,2.71E-05,PRR - PSP
45,629.1469389,2.627419734,0.004301757,1,PS - PSP
46,629.1469389,-5.708614249,5.69E-09,1.71E-06,P - PSS
47,629.1469389,-5.703319403,5.87E-09,1.76E-06,PP - PSS
48,629.1469389,-4.916750101,4.40E-07,0.000131989,PPP - PSS
49,629.1469389,-0.026414386,0.48946341,1,PPR - PSS
50,629.1469389,0.413262569,0.339707126,1,PPS - PSS
51,629.1469389,0.74788019,0.227266214,1,PR - PSS
52,629.1469389,-5.08685504,1.82E-07,5.46E-05,PRP - PSS
53,629.1469389,0.532862694,0.297064316,1,PRR - PSS
54,629.1469389,-2.353906486,0.009288642,1,PS - PSS
55,629.1469389,-4.616662106,1.95E-06,0.000584942,PSP - PSS
56,629.1469389,-11.6863752,7.48E-32,2.24E-29,P - R
57,629.1469389,-10.84978632,9.99E-28,3.00E-25,PP - R
58,629.1469389,-9.516878391,8.92E-22,2.68E-19,PPP - R
59,629.1469389,-3.245907966,0.000585383,0.175615022,PPR - R
60,629.1469389,-3.335608818,0.000425564,0.127669254,PPS - R
61,629.1469389,-3.330786684,0.000433005,0.129901407,PR - R
62,629.1469389,-9.840973356,3.75E-23,1.12E-20,PRP - R
63,629.1469389,-3.077657964,0.001043171,0.312951345,PRR - R
64,629.1469389,-7.011058758,1.18E-12,3.55E-10,PS - R
65,629.1469389,-9.461282205,1.52E-21,4.56E-19,PSP - R
66,629.1469389,-3.663986787,0.00012416,0.03724794,PSS - R
67,629.1469389,1.322965349,0.092923451,1,P - RP
68,629.1469389,0.78533925,0.216127344,1,PP - RP
69,629.1469389,1.210848851,0.112976669,1,PPP - RP
70,629.1469389,5.154671066,1.27E-07,3.81E-05,PPR - RP
71,629.1469389,6.218674788,2.51E-10,7.52E-08,PPS - RP
72,629.1469389,6.913895218,2.36E-12,7.07E-10,PR - RP
73,629.1469389,1.150645286,0.124939097,1,PRP - RP
74,629.1469389,6.205619546,2.72E-10,8.17E-08,PRR - RP
75,629.1469389,4.010957171,3.02E-05,0.009070962,PS - RP
76,629.1469389,1.722227177,0.042514187,1,PSP - RP
77,629.1469389,5.675918005,6.90E-09,2.07E-06,PSS - RP
78,629.1469389,9.799363932,5.66E-23,1.70E-20,R - RP
79,629.1469389,0.2668667,0.394785898,1,P - RPP
80,629.1469389,-0.300413924,0.381930722,1,PP - RPP
81,629.1469389,0.269532305,0.393760043,1,PPP - RPP
82,629.1469389,4.891508767,5.00E-07,0.000150099,PPR - RPP
83,629.1469389,6.242747875,2.15E-10,6.45E-08,PPS - RPP
84,629.1469389,7.206134721,2.88E-13,8.63E-11,PR - RPP
85,629.1469389,0.180827126,0.428251635,1,PRP - RPP
86,629.1469389,6.196617718,2.88E-10,8.65E-08,PRR - RPP
87,629.1469389,3.637222377,0.000137797,0.041339098,PS - RPP
88,629.1469389,0.850685462,0.19747205,1,PSP - RPP
89,629.1469389,5.565316716,1.31E-08,3.93E-06,PSS - RPP
