,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,1,1,0.000115739,1.60E-08,4.93E-12,1,2.55E-08,0.032848739,1,1.71E-06,2.24E-29,1,1,0.000312395,2.09E-21,1,3.05E-18,9.33E-13,1.13E-09,1.25E-17,0.000689652,1.06E-22,3.83E-08,0.000257251
PP,1,1,1,7.02E-05,2.94E-08,4.48E-11,1,3.92E-08,0.019214898,1,1.76E-06,3.00E-25,1,1,0.000217151,1.69E-19,1,6.49E-17,5.87E-12,2.74E-09,9.96E-17,0.000462927,2.65E-19,7.80E-08,0.000144741
PPP,1,1,1,0.001712471,5.54E-06,5.38E-08,1,5.87E-06,0.360909794,1,0.000131989,2.68E-19,1,1,0.006998822,2.90E-15,1,2.98E-13,5.69E-09,7.84E-07,1.81E-13,0.013541461,3.88E-14,1.58E-05,0.00279064
PPR,0.000115739,7.02E-05,0.001712471,1,1,1,0.000904615,1,1,0.006609349,1,0.175615022,3.81E-05,0.000150099,1,0.550316191,3.47E-05,1,1,1,0.412615482,1,1,1,1
PPS,1.60E-08,2.94E-08,5.54E-06,1,1,1,1.85E-06,1,0.552641527,2.59E-05,1,0.127669254,7.52E-08,6.45E-08,1,0.57776882,7.43E-09,1,1,1,0.467284315,1,1,1,1
PR,4.93E-12,4.48E-11,5.38E-08,1,1,1,1.18E-08,1,0.061998415,2.46E-07,1,0.129901407,7.07E-10,8.63E-11,1,0.730416369,5.67E-12,1,1,1,0.613318802,1,1,1,1
PRP,1,1,1,0.000904615,1.85E-06,1.18E-08,1,2.06E-06,0.209491764,1,5.46E-05,1.12E-20,1,1,0.003529656,3.16E-16,1,4.50E-14,1.28E-09,2.37E-07,3.35E-14,0.006996846,2.69E-15,5.24E-06,0.001549919
PRR,2.55E-08,3.92E-08,5.87E-06,1,1,1,2.06E-06,1,0.461435109,2.71E-05,1,0.312951345,8.17E-08,8.65E-08,1,1,1.08E-08,1,1,1,0.846986763,1,1,1,1
PS,0.032848739,0.019214898,0.360909794,1,0.552641527,0.061998415,0.209491764,0.461435109,1,1,1,3.55E-10,0.009070962,0.041339098,1,1.64E-07,0.009577046,4.17E-06,0.007539789,0.163934378,1.14E-06,1,7.60E-06,1,1
PSP,1,1,1,0.006609349,2.59E-05,2.46E-07,1,2.71E-05,1,1,0.000584942,4.56E-19,1,1,0.028033411,9.82E-15,1,1.19E-12,2.60E-08,3.68E-06,7.74E-13,0.053344953,9.94E-14,7.38E-05,0.010332634
PSS,1.71E-06,1.76E-06,0.000131989,1,1,1,5.46E-05,1,1,0.000584942,1,0.03724794,2.07E-06,3.93E-06,1,0.19534114,6.05E-07,0.710963245,1,1,0.168618259,1,1,1,1
R,2.24E-29,3.00E-25,2.68E-19,0.175615022,0.127669254,0.129901407,1.12E-20,0.312951345,3.55E-10,4.56E-19,0.03724794,1,1.70E-20,2.06E-25,0.000462983,1,2.99E-27,1,1,0.462347449,1,0.000108189,1,0.013118672,0.299895741
RP,1,1,1,3.81E-05,7.52E-08,7.07E-10,1,8.17E-08,0.009070962,1,2.07E-06,1.70E-20,1,1,0.000139978,6.11E-17,1,4.83E-15,7.51E-11,1.03E-08,2.62E-15,0.000280923,1.22E-15,2.12E-07,6.90E-05
RPP,1,1,1,0.000150099,6.45E-08,8.63E-11,1,8.65E-08,0.041339098,1,3.93E-06,2.06E-25,1,1,0.000475554,2.42E-19,1,1.11E-16,1.16E-11,5.91E-09,1.90E-16,0.001010574,2.46E-19,1.71E-07,0.000303538
RPR,0.000312395,0.000217151,0.006998822,1,1,1,0.003529656,1,1,0.028033411,1,0.000462983,0.000139978,0.000475554,1,0.00558597,9.59E-05,0.031628465,1,1,0.00681397,1,0.2259558,1,1
RR,2.09E-21,1.69E-19,2.90E-15,0.550316191,0.57776882,0.730416369,3.16E-16,1,1.64E-07,9.82E-15,0.19534114,1,6.11E-17,2.42E-19,0.00558597,1,8.92E-21,1,1,1,1,0.001804949,1,0.105299792,0.819567303
RRP,1,1,1,3.47E-05,7.43E-09,5.67E-12,1,1.08E-08,0.009577046,1,6.05E-07,2.99E-27,1,1,9.59E-05,8.92E-21,1,5.65E-18,8.50E-13,6.05E-10,1.27E-17,0.000209431,4.83E-21,1.88E-08,7.68E-05
RRR,3.05E-18,6.49E-17,2.98E-13,1,1,1,4.50E-14,1,4.17E-06,1.19E-12,0.710963245,1,4.83E-15,1.11E-16,0.031628465,1,5.65E-18,1,1,1,1,0.011924382,1,0.462672809,1
RRS,9.33E-13,5.87E-12,5.69E-09,1,1,1,1.28E-09,1,0.007539789,2.60E-08,1,1,7.51E-11,1.16E-11,1,1,8.50E-13,1,1,1,1,1,1,1,1
RS,1.13E-09,2.74E-09,7.84E-07,1,1,1,2.37E-07,1,0.163934378,3.68E-06,1,0.462347449,1.03E-08,5.91E-09,1,1,6.05E-10,1,1,1,1,1,1,1,1
RSR,1.25E-17,9.96E-17,1.81E-13,0.412615482,0.467284315,0.613318802,3.35E-14,0.846986763,1.14E-06,7.74E-13,0.168618259,1,2.62E-15,1.90E-16,0.00681397,1,1.27E-17,1,1,1,1,0.002540429,1,0.10332116,0.595123778
RSS,0.000689652,0.000462927,0.013541461,1,1,1,0.006996846,1,1,0.053344953,1,0.000108189,0.000280923,0.001010574,1,0.001804949,0.000209431,0.011924382,1,1,0.002540429,1,0.082061301,1,1
S,1.06E-22,2.65E-19,3.88E-14,1,1,1,2.69E-15,1,7.60E-06,9.94E-14,1,1,1.22E-15,2.46E-19,0.2259558,1,4.83E-21,1,1,1,1,0.082061301,1,1,1
SS,3.83E-08,7.80E-08,1.58E-05,1,1,1,5.24E-06,1,1,7.38E-05,1,0.013118672,2.12E-07,1.71E-07,1,0.105299792,1.88E-08,0.462672809,1,1,0.10332116,1,1,1,1
SSS,0.000257251,0.000144741,0.00279064,1,1,1,0.001549919,1,1,0.010332634,1,0.299895741,6.90E-05,0.000303538,1,0.819567303,7.68E-05,1,1,1,0.595123778,1,1,1,1
