,chi2,Z,P,P.adjusted,comparisons
1,367.0079763,-1.078149606,0.140483498,1,poor - poor_poor
2,367.0079763,-1.065075553,0.143420871,1,poor - poor_poor_poor
3,367.0079763,-0.113890169,0.45466243,1,poor_poor - poor_poor_poor
4,367.0079763,-8.386765163,2.50E-17,7.50E-15,poor - poor_poor_rich
5,367.0079763,-7.083312337,7.04E-13,2.11E-10,poor_poor - poor_poor_rich
6,367.0079763,-6.359731973,1.01E-10,3.03E-08,poor_poor_poor - poor_poor_rich
7,367.0079763,-4.91246869,4.50E-07,0.000134905,poor - poor_poor_std
8,367.0079763,-3.73877096,9.25E-05,0.027738316,poor_poor - poor_poor_std
9,367.0079763,-3.287201509,0.000505942,0.151782597,poor_poor_poor - poor_poor_std
10,367.0079763,3.19716771,0.000693921,0.208176315,poor_poor_rich - poor_poor_std
11,367.0079763,-8.369360388,2.90E-17,8.69E-15,poor - poor_rich
12,367.0079763,-6.651357656,1.45E-11,4.36E-09,poor_poor - poor_rich
13,367.0079763,-5.709312504,5.67E-09,1.70E-06,poor_poor_poor - poor_rich
14,367.0079763,1.735471978,0.04132862,1,poor_poor_rich - poor_rich
15,367.0079763,-1.978753597,0.023921878,1,poor_poor_std - poor_rich
16,367.0079763,-1.530686472,0.062923449,1,poor - poor_rich_poor
17,367.0079763,-0.572562812,0.283470372,1,poor_poor - poor_rich_poor
18,367.0079763,-0.420136654,0.337192814,1,poor_poor_poor - poor_rich_poor
19,367.0079763,5.860921709,2.30E-09,6.90E-07,poor_poor_rich - poor_rich_poor
20,367.0079763,2.816011086,0.002431199,0.729359831,poor_poor_std - poor_rich_poor
21,367.0079763,5.120606713,1.52E-07,4.57E-05,poor_rich - poor_rich_poor
22,367.0079763,-8.498026497,9.64E-18,2.89E-15,poor - poor_rich_rich
23,367.0079763,-6.947034258,1.87E-12,5.60E-10,poor_poor - poor_rich_rich
24,367.0079763,-6.079402511,6.03E-10,1.81E-07,poor_poor_poor - poor_rich_rich
25,367.0079763,0.942866224,0.172874667,1,poor_poor_rich - poor_rich_rich
26,367.0079763,-2.575022898,0.005011673,1,poor_poor_std - poor_rich_rich
27,367.0079763,-0.846485998,0.198640841,1,poor_rich - poor_rich_rich
28,367.0079763,-5.523808521,1.66E-08,4.98E-06,poor_rich_poor - poor_rich_rich
29,367.0079763,-4.3753984,6.06E-06,0.001818163,poor - poor_std
30,367.0079763,-3.027247911,0.001233957,0.370187197,poor_poor - poor_std
31,367.0079763,-2.558867651,0.005250686,1,poor_poor_poor - poor_std
32,367.0079763,4.624038664,1.88E-06,0.00056451,poor_poor_rich - poor_std
33,367.0079763,1.115757801,0.132262911,1,poor_poor_std - poor_std
34,367.0079763,3.63765411,0.000137566,0.041269886,poor_rich - poor_std
35,367.0079763,-2.043304365,0.020511159,1,poor_rich_poor - poor_std
36,367.0079763,4.164697884,1.56E-05,0.004676477,poor_rich_rich - poor_std
37,367.0079763,-3.221472338,0.000637669,0.191300659,poor - poor_std_poor
38,367.0079763,-2.08648808,0.018467217,1,poor_poor - poor_std_poor
39,367.0079763,-1.77076077,0.038300246,1,poor_poor_poor - poor_std_poor
40,367.0079763,4.902716556,4.73E-07,0.00014178,poor_poor_rich - poor_std_poor
41,367.0079763,1.64887086,0.049587047,1,poor_poor_std - poor_std_poor
42,367.0079763,3.987532886,3.34E-05,0.010014593,poor_rich - poor_std_poor
43,367.0079763,-1.305300587,0.095895257,1,poor_rich_poor - poor_std_poor
44,367.0079763,4.470385613,3.90E-06,0.00117118,poor_rich_rich - poor_std_poor
45,367.0079763,0.691934681,0.244489175,1,poor_std - poor_std_poor
46,367.0079763,-6.07329178,6.27E-10,1.88E-07,poor - poor_std_std
47,367.0079763,-4.732765444,1.11E-06,0.000332222,poor_poor - poor_std_std
48,367.0079763,-4.133435851,1.79E-05,0.005360701,poor_poor_poor - poor_std_std
49,367.0079763,2.697335106,0.003494845,1,poor_poor_rich - poor_std_std
50,367.0079763,-0.683119937,0.247265529,1,poor_poor_std - poor_std_std
51,367.0079763,1.324247576,0.092710417,1,poor_rich - poor_std_std
52,367.0079763,-3.622659308,0.000145795,0.043738465,poor_rich_poor - poor_std_std
53,367.0079763,1.995017303,0.023020496,1,poor_rich_rich - poor_std_std
54,367.0079763,-1.965387917,0.024684678,1,poor_std - poor_std_std
55,367.0079763,-2.454141139,0.007061077,1,poor_std_poor - poor_std_std
56,367.0079763,-9.674894398,1.93E-22,5.78E-20,poor - rich
57,367.0079763,-7.544079459,2.28E-14,6.83E-12,poor_poor - rich
58,367.0079763,-6.302822753,1.46E-10,4.38E-08,poor_poor_poor - rich
59,367.0079763,1.769236228,0.03842723,1,poor_poor_rich - rich
60,367.0079763,-2.264984541,0.011756814,1,poor_poor_std - rich
61,367.0079763,-0.14228,0.443429422,1,poor_rich - rich
62,367.0079763,-5.644308487,8.29E-09,2.49E-06,poor_rich_poor - rich
63,367.0079763,0.814422565,0.207701458,1,poor_rich_rich - rich
64,367.0079763,-4.227426528,1.18E-05,0.00354569,poor_std - rich
65,367.0079763,-4.495063714,3.48E-06,0.001043237,poor_std_poor - rich
66,367.0079763,-1.583387253,0.056666613,1,poor_std_std - rich
67,367.0079763,-1.155001854,0.124044834,1,poor - rich_poor
68,367.0079763,-0.340623501,0.366693518,1,poor_poor - rich_poor
69,367.0079763,-0.225913293,0.410634429,1,poor_poor_poor - rich_poor
70,367.0079763,5.389449319,3.53E-08,1.06E-05,poor_poor_rich - rich_poor
71,367.0079763,2.655882859,0.003955054,1,poor_poor_std - rich_poor
72,367.0079763,4.586332006,2.26E-06,0.000676652,poor_rich - rich_poor
73,367.0079763,0.147281578,0.441454886,1,poor_rich_poor - rich_poor
74,367.0079763,4.995701606,2.93E-07,8.79E-05,poor_rich_rich - rich_poor
75,367.0079763,1.938921209,0.026255466,1,poor_std - rich_poor
76,367.0079763,1.30764935,0.095496135,1,poor_std_poor - rich_poor
77,367.0079763,3.345005378,0.000411405,0.123421462,poor_std_std - rich_poor
78,367.0079763,4.946346489,3.78E-07,0.000113429,rich - rich_poor
79,367.0079763,-2.936785524,0.001658167,0.497450064,poor - rich_poor_poor
80,367.0079763,-1.574349753,0.057703307,1,poor_poor - rich_poor_poor
81,367.0079763,-1.243810189,0.106784715,1,poor_poor_poor - rich_poor_poor
82,367.0079763,6.326752948,1.25E-10,3.76E-08,poor_poor_rich - rich_poor_poor
83,367.0079763,2.677949472,0.00370372,1,poor_poor_std - rich_poor_poor
84,367.0079763,5.813192663,3.06E-09,9.19E-07,poor_rich - rich_poor_poor
85,367.0079763,-0.721365086,0.235342461,1,poor_rich_poor - rich_poor_poor
86,367.0079763,6.152785117,3.81E-10,1.14E-07,poor_rich_rich - rich_poor_poor
87,367.0079763,1.755830215,0.039558702,1,poor_std - rich_poor_poor
88,367.0079763,0.828471665,0.203701718,1,poor_std_poor - rich_poor_poor
89,367.0079763,3.716095164,0.000101163,0.030348811,poor_std_std - rich_poor_poor
90,367.0079763,6.865516971,3.31E-12,9.94E-10,rich - rich_poor_poor
91,367.0079763,-0.787921313,0.215371367,1,rich_poor - rich_poor_poor
92,367.0079763,-9.676314865,1.90E-22,5.70E-20,poor - rich_poor_rich
93,367.0079763,-7.872938568,1.73E-15,5.20E-13,poor_poor - rich_poor_rich
94,367.0079763,-6.789355077,5.63E-12,1.69E-09,poor_poor_poor - rich_poor_rich
95,367.0079763,0.643714226,0.259880382,1,poor_poor_rich - rich_poor_rich
96,367.0079763,-3.093361674,0.000989514,0.296854181,poor_poor_std - rich_poor_rich
97,367.0079763,-1.361478578,0.086681249,1,poor_rich - rich_poor_rich
98,367.0079763,-6.184052938,3.12E-10,9.37E-08,poor_rich_poor - rich_poor_rich
99,367.0079763,-0.404167578,0.343044747,1,poor_rich_rich - rich_poor_rich
100,367.0079763,-4.920135415,4.32E-07,0.000129727,poor_std - rich_poor_rich
101,367.0079763,-5.1428994,1.35E-07,4.06E-05,poor_std_poor - rich_poor_rich
102,367.0079763,-2.522594662,0.00582463,1,poor_std_std - rich_poor_rich
103,367.0079763,-1.406643937,0.079766499,1,rich - rich_poor_rich
