,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,,1,1,7.50E-15,0.000134905,8.69E-15,1,2.89E-15,0.001818163,0.191300659,1.88E-07,5.78E-20,1,0.497450064,5.70E-20,6.23E-18,0.001232819,1.49E-17,2.36E-08,0.000230446,1.43E-18,2.48E-08,2.21E-11,2.59E-11,6.16E-10
PP,1,,1,2.11E-10,0.027738316,4.36E-09,1,5.60E-10,0.370187197,1,0.000332222,6.83E-12,1,1,5.20E-13,2.94E-11,0.319850088,2.46E-11,0.000181197,0.078938048,4.14E-13,0.000176313,6.46E-06,1.65E-06,3.14E-06
PPP,1,1,,3.03E-08,0.151782597,1.70E-06,1,1.81E-07,1,1,0.005360701,4.38E-08,1,1,1.69E-09,4.75E-08,1,2.64E-08,0.005063008,0.4544278,2.79E-10,0.0048213,0.000840154,0.000157575,0.000110427
PPR,7.50E-15,2.11E-10,3.03E-08,,0.208176315,1,6.90E-07,1,0.00056451,0.00014178,1,1,1.06E-05,3.76E-08,1,1,0.000374937,1,0.201396332,0.00617966,1,0.234892618,0.071469497,1,1
PPS,0.000134905,0.027738316,0.151782597,0.208176315,,1,0.729359831,1,1,1,1,1,1,1,0.296854181,1,1,0.949716813,1,1,0.024671393,1,1,1,1
PR,8.69E-15,4.36E-09,1.70E-06,1,1,,4.57E-05,1,0.041269886,0.010014593,1,1,0.000676652,9.19E-07,1,1,0.027508618,1,1,0.407616904,1,1,1,1,1
PRP,1,1,1,6.90E-07,0.729359831,4.57E-05,,4.98E-06,1,1,0.043738465,2.49E-06,1,1,9.37E-08,2.02E-06,1,1.04E-06,0.049298879,1,1.10E-08,0.046744788,0.013288208,0.00249773,0.001321034
PRR,2.89E-15,5.60E-10,1.81E-07,1,1,1,4.98E-06,,0.004676477,0.00117118,1,1,8.79E-05,1.14E-07,1,1,0.003019791,1,1,0.053823408,1,1,0.646004381,1,1
PS,0.001818163,0.370187197,1,0.00056451,1,0.041269886,1,0.004676477,,1,1,0.00354569,1,1,0.000129727,0.002522282,1,0.00124681,1,1,1.32E-05,1,1,1,0.46615259
PSP,0.191300659,1,1,0.00014178,1,0.010014593,1,0.00117118,1,,1,0.001043237,1,1,4.06E-05,0.000687976,1,0.000338244,1,1,3.80E-06,1,1,0.290118351,0.117202189
PSS,1.88E-07,0.000332222,0.005360701,1,1,1,0.043738465,1,1,1,,1,0.123421462,0.030348811,1,1,1,1,1,1,0.152968076,1,1,1,1
R,5.78E-20,6.83E-12,4.38E-08,1,1,1,2.49E-06,1,0.00354569,0.001043237,1,,0.000113429,9.94E-10,1,1,0.001827551,1,1,0.075060039,1,1,0.960035042,1,1
RP,1,1,1,1.06E-05,1,0.000676652,1,8.79E-05,1,1,0.123421462,0.000113429,,1,5.40E-06,6.54E-05,1,3.21E-05,0.160122227,1,4.45E-07,0.151857231,0.072738292,0.0156959,0.006495101
RPP,0.497450064,1,1,3.76E-08,1,9.19E-07,1,1.14E-07,1,1,0.030348811,9.94E-10,1,,9.41E-11,5.80E-09,1,5.04E-09,0.022929789,1,8.44E-11,0.022017234,0.001335378,0.000303282,0.000401473
RPR,5.70E-20,5.20E-13,1.69E-09,1,0.296854181,1,9.37E-08,1,0.000129727,4.06E-05,1,1,5.40E-06,9.41E-11,,1,6.57E-05,1,0.211608109,0.003182716,1,0.25961811,0.03596228,1,1
RR,6.23E-18,2.94E-11,4.75E-08,1,1,1,2.02E-06,1,0.002522282,0.000687976,1,1,6.54E-05,5.80E-09,1,,0.001431396,1,1,0.042458123,1,1,0.534666741,1,1
RRP,0.001232819,0.319850088,1,0.000374937,1,0.027508618,1,0.003019791,1,1,1,0.001827551,1,1,6.57E-05,0.001431396,,0.000719475,1,1,7.37E-06,1,1,0.945624398,0.375436227
RRR,1.49E-17,2.46E-11,2.64E-08,1,0.949716813,1,1.04E-06,1,0.00124681,0.000338244,1,1,3.21E-05,5.04E-09,1,1,0.000719475,,0.898428795,0.02045776,1,1,0.252755173,1,1
RRS,2.36E-08,0.000181197,0.005063008,0.201396332,1,1,0.049298879,1,1,1,1,1,0.160122227,0.022929789,0.211608109,1,1,0.898428795,,1,0.01566296,1,1,1,1
RS,0.000230446,0.078938048,0.4544278,0.00617966,1,0.407616904,1,0.053823408,1,1,1,0.075060039,1,1,0.003182716,0.042458123,1,0.02045776,1,,0.000257725,1,1,1,1
RSR,1.43E-18,4.14E-13,2.79E-10,1,0.024671393,1,1.10E-08,1,1.32E-05,3.80E-06,0.152968076,1,4.45E-07,8.44E-11,1,1,7.37E-06,1,0.01566296,0.000257725,,0.019289987,0.002919292,0.186252465,1
RSS,2.48E-08,0.000176313,0.0048213,0.234892618,1,1,0.046744788,1,1,1,1,1,0.151857231,0.022017234,0.25961811,1,1,1,1,1,0.019289987,,1,1,1
S,2.21E-11,6.46E-06,0.000840154,0.071469497,1,1,0.013288208,0.646004381,1,1,1,0.960035042,0.072738292,0.001335378,0.03596228,0.534666741,1,0.252755173,1,1,0.002919292,1,,1,1
SS,2.59E-11,1.65E-06,0.000157575,1,1,1,0.00249773,1,1,0.290118351,1,1,0.0156959,0.000303282,1,1,0.945624398,1,1,1,0.186252465,1,1,,1
SSS,6.16E-10,3.14E-06,0.000110427,1,1,1,0.001321034,1,0.46615259,0.117202189,1,1,0.006495101,0.000401473,1,1,0.375436227,1,1,1,1,1,1,1,
