,chi2,Z,P,P.adjusted,comparisons
1,741.8676771,-2.62099108,0.004383728,1,poor - poor_poor
2,741.8676771,-1.781406105,0.037423066,1,poor - poor_poor_poor
4,741.8676771,-10.41639405,1.04E-25,3.13E-23,poor - poor_poor_rich
7,741.8676771,-9.789927421,6.22E-23,1.87E-20,poor - poor_poor_std
11,741.8676771,-12.39203794,1.44E-35,4.33E-33,poor - poor_rich
16,741.8676771,-2.153101295,0.015655359,1,poor - poor_rich_poor
22,741.8676771,-12.26974077,6.58E-35,1.98E-32,poor - poor_rich_rich
29,741.8676771,-10.62133865,1.19E-26,3.56E-24,poor - poor_std
37,741.8676771,-4.196722887,1.35E-05,0.004062074,poor - poor_std_poor
46,741.8676771,-9.411154249,2.45E-21,7.36E-19,poor - poor_std_std
56,741.8676771,-12.63932703,6.41E-37,1.92E-34,poor - rich
67,741.8676771,-0.173239841,0.431231454,1,poor - rich_poor
79,741.8676771,-4.211594811,1.27E-05,0.003803611,poor - rich_poor_poor
92,741.8676771,-12.35797053,2.21E-35,6.62E-33,poor - rich_poor_rich
106,741.8676771,-11.19045177,2.27E-29,6.81E-27,poor - rich_rich
121,741.8676771,-5.136793009,1.40E-07,4.19E-05,poor - rich_rich_poor
137,741.8676771,-13.18540175,5.32E-40,1.60E-37,poor - rich_rich_rich
154,741.8676771,-9.667996867,2.06E-22,6.19E-20,poor - rich_rich_std
172,741.8676771,-7.826445636,2.51E-15,7.53E-13,poor - rich_std
191,741.8676771,-11.5667866,3.04E-31,9.11E-29,poor - rich_std_rich
211,741.8676771,-9.882143077,2.49E-23,7.46E-21,poor - rich_std_std
232,741.8676771,-10.33402578,2.47E-25,7.42E-23,poor - std
254,741.8676771,-7.456125481,4.46E-14,1.34E-11,poor - std_std
277,741.8676771,-7.987017644,6.91E-16,2.07E-13,poor - std_std_std
3,741.8676771,0.57354997,0.283136188,1,poor_poor - poor_poor_poor
5,741.8676771,-7.829795405,2.44E-15,7.33E-13,poor_poor - poor_poor_rich
8,741.8676771,-6.741565398,7.83E-12,2.35E-09,poor_poor - poor_poor_std
12,741.8676771,-8.701236095,1.64E-18,4.92E-16,poor_poor - poor_rich
17,741.8676771,0.293539044,0.38455508,1,poor_poor - poor_rich_poor
23,741.8676771,-9.174652004,2.27E-20,6.80E-18,poor_poor - poor_rich_rich
30,741.8676771,-7.08301396,7.05E-13,2.12E-10,poor_poor - poor_std
38,741.8676771,-1.45350304,0.073042068,1,poor_poor - poor_std_poor
47,741.8676771,-6.444867851,5.79E-11,1.74E-08,poor_poor - poor_std_std
57,741.8676771,-8.677099271,2.03E-18,6.09E-16,poor_poor - rich
68,741.8676771,1.817080538,0.034602391,1,poor_poor - rich_poor
80,741.8676771,-1.339503941,0.090203336,1,poor_poor - rich_poor_poor
93,741.8676771,-9.195436125,1.87E-20,5.60E-18,poor_poor - rich_poor_rich
107,741.8676771,-7.872660147,1.74E-15,5.21E-13,poor_poor - rich_rich
122,741.8676771,-2.163628668,0.01524643,1,poor_poor - rich_rich_poor
138,741.8676771,-9.836675444,3.91E-23,1.17E-20,poor_poor - rich_rich_rich
155,741.8676771,-6.473547832,4.79E-11,1.44E-08,poor_poor - rich_rich_std
173,741.8676771,-4.95177357,3.68E-07,0.00011031,poor_poor - rich_std
192,741.8676771,-8.904118399,2.69E-19,8.07E-17,poor_poor - rich_std_rich
212,741.8676771,-6.82562364,4.38E-12,1.31E-09,poor_poor - rich_std_std
233,741.8676771,-6.296300797,1.52E-10,4.57E-08,poor_poor - std
255,741.8676771,-4.47373692,3.84E-06,0.001152965,poor_poor - std_std
278,741.8676771,-5.66635566,7.29E-09,2.19E-06,poor_poor - std_std_std
6,741.8676771,-7.955859694,8.89E-16,2.67E-13,poor_poor_poor - poor_poor_rich
