,P,PP,PPP,PPR,PPS,PR,PRP,PRR,PS,PSP,PSS,R,RP,RPP,RPR,RR,RRP,RRR,RRS,RS,RSR,RSS,S,SS,SSS
P,1,1,1,3.13E-23,1.87E-20,4.33E-33,1,1.98E-32,3.56E-24,0.004062074,7.36E-19,1.92E-34,1,0.003803611,6.62E-33,6.81E-27,4.19E-05,1.60E-37,6.19E-20,7.53E-13,9.11E-29,7.46E-21,7.42E-23,1.34E-11,2.07E-13
PP,1,1,1,7.33E-13,2.35E-09,4.92E-16,1,6.80E-18,2.12E-10,1,1.74E-08,6.09E-16,1,1,5.60E-18,5.21E-13,1,1.17E-20,1.44E-08,0.00011031,8.07E-17,1.31E-09,4.57E-08,0.001152965,2.19E-06
PPP,1,1,1,2.67E-13,8.30E-10,5.16E-16,1,5.23E-18,1.02E-10,1,5.61E-09,7.92E-16,1,1,4.62E-18,2.91E-13,1,1.56E-20,5.03E-09,2.92E-05,3.97E-17,4.74E-10,2.07E-08,0.00029961,5.81E-07
PPR,3.13E-23,7.33E-13,2.67E-13,1,1,1,6.98E-13,1,1,6.74E-09,1,1,2.85E-15,8.32E-10,1,1,6.94E-08,1,1,0.119720423,1,1,0.049935934,0.009900101,1
PPS,1.87E-20,2.35E-09,8.30E-10,1,1,1,2.18E-09,1,1,1.58E-05,1,1,8.63E-12,2.34E-06,1,1,0.00014962,0.55640715,1,1,0.569455789,1,1,1,1
PR,4.33E-33,4.92E-16,5.16E-16,1,1,1,1.21E-15,1,1,1.62E-10,1,1,1.03E-17,5.17E-12,1,1,2.28E-09,1,1,0.325980376,1,1,0.079371744,0.016566849,1
PRP,1,1,1,6.98E-13,2.18E-09,1.21E-15,1,1.27E-17,2.64E-10,1,1.47E-08,1.79E-15,1,1,1.11E-17,7.42E-13,1,3.48E-20,1.32E-08,7.26E-05,1.02E-16,1.24E-09,5.41E-08,0.000731243,1.41E-06
PRR,1.98E-32,6.80E-18,5.23E-18,1,1,1,1.27E-17,1,0.380397073,1.06E-12,1,1,8.64E-20,4.37E-14,1,1,1.45E-11,1,0.291805957,0.004762066,1,1,0.000593512,0.00014711,1
PS,3.56E-24,2.12E-10,1.02E-10,1,1,1,2.64E-10,0.380397073,1,5.36E-06,1,1,1.18E-12,5.11E-07,0.474505433,1,5.97E-05,0.087671427,1,1,0.129058116,1,1,1,1
PSP,0.004062074,1,1,6.74E-09,1.58E-05,1.62E-10,1,1.06E-12,5.36E-06,1,6.93E-05,3.33E-10,0.368425877,1,1.06E-12,2.57E-08,1,8.04E-15,8.84E-05,0.058609658,2.96E-12,1.00E-05,0.000763291,0.381643527,0.001091634
