gen1	gen2	phenotype	pvalue
P	P	ovaries	0.05715796571598275
P	PP	ovaries	0.7249906048478629
P	PPP	ovaries	0.17432850286648016
P	PPR	ovaries	0.9245906859826954
P	PPS	ovaries	0.9870196606532498
P	PR	ovaries	0.6388556880149547
P	PRP	ovaries	0.49011998632664633
P	PRR	ovaries	0.06810762171719875
P	PRS	ovaries	0.8116703644151456
P	PS	ovaries	0.12517001907530123
P	PSP	ovaries	0.22409214637331365
P	PSR	ovaries	0.826765456526074
P	PSS	ovaries	0.29100800173104424
P	R	ovaries	0.330932122244013
P	RP	ovaries	0.4293475498361409
P	RPP	ovaries	0.4224339474862827
P	RPR	ovaries	0.47092859571603085
P	RPS	ovaries	0.0823712245201823
P	RR	ovaries	0.3823550178776409
P	RRP	ovaries	0.3452415584577485
P	RRR	ovaries	0.8468045785139278
P	RRS	ovaries	0.39403939290923296
P	RS	ovaries	0.08858473529545596
P	RSP	ovaries	0.23438165181023674
P	RSR	ovaries	0.40490864625289213
P	RSS	ovaries	0.6091233546558985
P	S	ovaries	0.6692402316506889
P	SP	ovaries	0.3905086145221486
P	SPP	ovaries	0.5147018992312185
P	SPR	ovaries	0.1770085434722929
P	SPS	ovaries	0.6049968934137349
P	SR	ovaries	0.23401176502605536
P	SRP	ovaries	0.17645129854837127
P	SRR	ovaries	0.9244858303057725
P	SRS	ovaries	0.5429336963224312
P	SS	ovaries	0.813210803240549
P	SSP	ovaries	0.1403396338511238
P	SSR	ovaries	0.5926624982795785
P	SSS	ovaries	0.6397578617856793
PP	P	ovaries	0.679599270425492
PP	PP	ovaries	0.052159900640025736
PP	PPP	ovaries	0.7861977354481987
PP	PPR	ovaries	0.810375881609129
PP	PPS	ovaries	0.7226762895776857
PP	PR	ovaries	0.30969924647460645
PP	PRP	ovaries	0.6627993968754456
PP	PRR	ovaries	0.018111242092969104
PP	PRS	ovaries	0.1363103580107895
PP	PS	ovaries	0.5686819457334285
PP	PSP	ovaries	0.8148752438940672
PP	PSR	ovaries	0.9730833315169656
PP	PSS	ovaries	0.1395926743654936
PP	R	ovaries	0.1841788275548515
PP	RP	ovaries	0.057077697807237704
PP	RPP	ovaries	0.5498349546419774
PP	RPR	ovaries	0.23128622915658914
PP	RPS	ovaries	0.9643245445924585
PP	RR	ovaries	0.6890943169762733
PP	RRP	ovaries	0.05796479256085463
PP	RRR	ovaries	0.3898941051178523
PP	RRS	ovaries	0.1342060515983401
PP	RS	ovaries	0.8234226412167103
PP	RSP	ovaries	0.5806881557662897
PP	RSR	ovaries	0.2784267967916225
PP	RSS	ovaries	0.07078054211806029
PP	S	ovaries	0.677507114619251
PP	SP	ovaries	0.3018741070815648
PP	SPP	ovaries	0.1037980961733499
PP	SPR	ovaries	0.5124920822652166
PP	SPS	ovaries	0.021834291885775348
PP	SR	ovaries	0.8623093011774522
PP	SRP	ovaries	0.5298055825680444
PP	SRR	ovaries	0.588964092884931
PP	SRS	ovaries	0.041450336847127844
PP	SS	ovaries	0.48247732141306565
PP	SSP	ovaries	0.09790398899443176
PP	SSR	ovaries	0.37547555107387487
PP	SSS	ovaries	0.9499202227745812
PPP	P	ovaries	0.3170681240416571
PPP	PP	ovaries	0.23636849888650568
PPP	PPP	ovaries	0.42890157309541244
PPP	PPR	ovaries	0.6502591304408746
PPP	PPS	ovaries	0.38896195411309087
PPP	PR	ovaries	0.1384212691280423
PPP	PRP	ovaries	0.9027227962309713
PPP	PRR	ovaries	0.3393258823383011
PPP	PRS	ovaries	0.4164213638295923
PPP	PS	ovaries	0.10629935349618791
PPP	PSP	ovaries	0.6081952168041589
PPP	PSR	ovaries	0.502401611895787
PPP	PSS	ovaries	0.03381095236211851
PPP	R	ovaries	0.10974617052809821
PPP	RP	ovaries	0.9799466876933678
PPP	RPP	ovaries	0.7737976720106331
PPP	RPR	ovaries	0.7975402027227475
PPP	RPS	ovaries	0.5530834142062306
PPP	RR	ovaries	0.488038473681746
PPP	RRP	ovaries	0.8634833853769044
PPP	RRR	ovaries	0.9400624256622699
PPP	RRS	ovaries	0.6027948112097482
PPP	RS	ovaries	0.857539869816148
PPP	RSP	ovaries	0.48512244506274527
PPP	RSR	ovaries	0.2427709505770148
PPP	RSS	ovaries	0.8716540299594387
PPP	S	ovaries	0.7948730487298681
PPP	SP	ovaries	0.27473400090003364
PPP	SPP	ovaries	0.7963072137488866
PPP	SPR	ovaries	0.5278947776376541
PPP	SPS	ovaries	0.022809724952867705
PPP	SR	ovaries	0.1736396954717695
PPP	SRP	ovaries	0.33420764859257845
PPP	SRR	ovaries	0.22123361651394202
PPP	SRS	ovaries	0.7586492607516526
PPP	SS	ovaries	0.7155759007551248
PPP	SSP	ovaries	0.398910451782155
PPP	SSR	ovaries	0.8873289263140332
PPP	SSS	ovaries	0.0706559955172219
PPR	P	ovaries	0.6085383600457199
PPR	PP	ovaries	0.12465314614189171
PPR	PPP	ovaries	0.31598451109424885
PPR	PPR	ovaries	0.8565345717255426
PPR	PPS	ovaries	0.8040431091797299
PPR	PR	ovaries	0.3455300290545775
PPR	PRP	ovaries	0.8165166636725675
