gen	phenotype	value
P	ovaries	10.53324650981178
P	ovaries	6.123567503507824
P	ovaries	5.02910985024821
P	ovaries	3.777030347244011
P	ovaries	6.048941867951309
P	ovaries	6.112627590836509
P	ovaries	5.578797423626774
P	ovaries	7.896674707433052
P	ovaries	7.669162974035528
P	ovaries	8.362839325778353
P	ovaries	6.46792981664424
P	ovaries	7.588864706493707
P	ovaries	4.487927039931954
P	ovaries	7.140336711759319
P	ovaries	4.112767057620021
P	ovaries	5.197687019695017
P	ovaries	3.227121960636357
P	ovaries	7.734370790176639
P	ovaries	8.227591431921887
P	ovaries	5.482809725227251
P	ovaries	5.326830825302727
P	ovaries	10.292199068960251
P	ovaries	10.068180853608837
P	ovaries	4.758079006794571
P	ovaries	2.1768979259729075
P	ovaries	7.021285623120115
P	ovaries	3.532642622876291
P	ovaries	9.82605800737821
P	ovaries	9.534522771112018
P	ovaries	7.7064934483945375
P	ovaries	6.799767236272243
P	ovaries	7.730357380952169
P	ovaries	8.303222392681892
P	ovaries	5.432046884999916
P	ovaries	5.139156335254144
P	ovaries	5.483748836846025
P	ovaries	4.977055333642909
P	ovaries	5.317693103613651
P	ovaries	9.076219766415726
P	ovaries	10.445450476244876
P	size	10.74040181402857
P	size	7.7716199450521035
P	size	8.974349174824457
P	size	11.507962617881367
P	size	9.540066658636722
P	size	9.463665281048291
P	size	11.642753749673025
P	size	10.444088526025457
P	size	8.97628110282249
P	size	9.28112713318646
P	size	10.576882455167388
P	size	11.283724759041927
P	size	10.298530731307439
P	size	9.964636101868146
P	size	9.70529298744343
P	size	11.127082206019093
P	size	10.075898589398644
P	size	9.846985948613401
P	size	10.766987747935792
P	size	10.351381668107758
P	size	9.484605605118722
P	size	10.604114248511362
P	size	11.118505606741504
P	size	9.38541788151912
P	size	10.803527897585354
P	size	11.540093311828338
P	size	11.776255816552492
P	size	10.650717151232373
P	size	11.597963878190207
P	size	8.10347462555957
P	size	10.69883137863297
P	size	7.60343237749678
P	size	10.682649264899194
P	size	10.95359298390833
P	size	9.793770772899054
P	size	11.229059507424497
P	size	11.283636616024326
P	size	8.318665363566433
P	size	9.049872974804863
P	size	10.10492932562314
P	weight	14.48726391856292
P	weight	12.809290207878501
P	weight	13.392762402275128
P	weight	15.692709956193164
P	weight	10.130756184198123
P	weight	12.268999487132309
P	weight	11.637216557168763
P	weight	15.150284786095067
P	weight	17.13612197427098
P	weight	10.545915597767298
P	weight	12.9830478793588
P	weight	12.083999665332614
P	weight	15.44368497213324
P	weight	14.299586096224788
P	weight	12.043775901932035
P	weight	13.0778678146724
P	weight	18.521704653652094
P	weight	14.531737688491743
P	weight	13.192053413442201
P	weight	12.953192966684895
P	weight	12.705486609119802
P	weight	10.439272196418635
P	weight	15.192619255777915
P	weight	12.178762320348046
P	weight	11.556690593759159
P	weight	15.827655417053293
P	weight	14.225087028927353
P	weight	9.779404793480893
P	weight	13.527813861502155
P	weight	12.431492387884605
P	weight	11.778892676163125
P	weight	13.184935444379596
P	weight	12.715830425077808
P	weight	9.488017530875881
P	weight	10.416992813225253
P	weight	13.159232121699258
P	weight	14.926972676245109
P	weight	15.24522332108163
P	weight	11.266220675613969
P	weight	13.372338534863582
PP	ovaries	10.751140818919131
PP	ovaries	8.984882480546032
PP	ovaries	10.426919725650114
PP	ovaries	7.315248145806223
PP	ovaries	8.197908962660115
PP	ovaries	8.850682177434283
PP	ovaries	10.692113924448055
PP	ovaries	11.527135620197964
PP	ovaries	8.903449331945957
PP	ovaries	9.222890362894429
PP	ovaries	11.462139001671526
PP	ovaries	9.876444171486275
PP	ovaries	9.855001012142143
PP	ovaries	8.561746811346977
PP	ovaries	7.287298300955388
PP	ovaries	8.951472102281091
PP	ovaries	11.105900200660455
PP	ovaries	11.787507614567225
PP	ovaries	12.617212400324156
PP	ovaries	10.93795747279747
