gen1	gen2	phenotype	pvalue
P	PP	eggsize	0.004062394
PP	P	eggsize	0.004062394
P	PPP	eggsize	1.0
PPP	P	eggsize	1.0
P	PPR	eggsize	0.000109139
PPR	P	eggsize	0.000109139
P	PR	eggsize	4.92e-09
PR	P	eggsize	4.92e-09
P	PRP	eggsize	1.0
PRP	P	eggsize	1.0
P	PRR	eggsize	0.010872966000000001
PRR	P	eggsize	0.010872966000000001
P	R	eggsize	1.0
R	P	eggsize	1.0
P	RP	eggsize	0.001226043
RP	P	eggsize	0.001226043
P	RPP	eggsize	1.0
RPP	P	eggsize	1.0
P	RPR	eggsize	1.0
RPR	P	eggsize	1.0
P	RR	eggsize	2.15e-08
RR	P	eggsize	2.15e-08
P	RRP	eggsize	1.0
RRP	P	eggsize	1.0
P	RRR	eggsize	0.5887457389999999
RRR	P	eggsize	0.5887457389999999
P	S	eggsize	1.0
S	P	eggsize	1.0
P	SS	eggsize	1.0
SS	P	eggsize	1.0
P	SSS	eggsize	1.0
SSS	P	eggsize	1.0
PP	PPP	eggsize	1.0
PPP	PP	eggsize	1.0
PP	PPR	eggsize	1.0
PPR	PP	eggsize	1.0
PP	PR	eggsize	1.0
PR	PP	eggsize	1.0
PP	PRP	eggsize	0.097864614
PRP	PP	eggsize	0.097864614
PP	PRR	eggsize	1.0
PRR	PP	eggsize	1.0
PP	R	eggsize	0.000134593
R	PP	eggsize	0.000134593
PP	RP	eggsize	1.0
RP	PP	eggsize	1.0
PP	RPP	eggsize	0.399154985
RPP	PP	eggsize	0.399154985
PP	RPR	eggsize	0.049652664000000006
RPR	PP	eggsize	0.049652664000000006
PP	RR	eggsize	1.0
RR	PP	eggsize	1.0
PP	RRP	eggsize	1.0
RRP	PP	eggsize	1.0
PP	RRR	eggsize	1.0
RRR	PP	eggsize	1.0
PP	S	eggsize	0.00596591
S	PP	eggsize	0.00596591
PP	SS	eggsize	1.0
SS	PP	eggsize	1.0
PP	SSS	eggsize	1.0
SSS	PP	eggsize	1.0
PPP	PPR	eggsize	1.0
PPR	PPP	eggsize	1.0
PPP	PR	eggsize	0.004477209
PR	PPP	eggsize	0.004477209
PPP	PRP	eggsize	1.0
PRP	PPP	eggsize	1.0
PPP	PRR	eggsize	1.0
PRR	PPP	eggsize	1.0
PPP	R	eggsize	0.142397874
R	PPP	eggsize	0.142397874
PPP	RP	eggsize	1.0
RP	PPP	eggsize	1.0
PPP	RPP	eggsize	1.0
RPP	PPP	eggsize	1.0
PPP	RPR	eggsize	1.0
RPR	PPP	eggsize	1.0
PPP	RR	eggsize	0.01686478
RR	PPP	eggsize	0.01686478
PPP	RRP	eggsize	1.0
RRP	PPP	eggsize	1.0
PPP	RRR	eggsize	1.0
RRR	PPP	eggsize	1.0
PPP	S	eggsize	1.0
S	PPP	eggsize	1.0
PPP	SS	eggsize	1.0
SS	PPP	eggsize	1.0
PPP	SSS	eggsize	1.0
SSS	PPP	eggsize	1.0
PPR	PR	eggsize	1.0
PR	PPR	eggsize	1.0
PPR	PRP	eggsize	0.00577108
PRP	PPR	eggsize	0.00577108
PPR	PRR	eggsize	1.0
PRR	PPR	eggsize	1.0
PPR	R	eggsize	2.85e-06
R	PPR	eggsize	2.85e-06
PPR	RP	eggsize	1.0
RP	PPR	eggsize	1.0
PPR	RPP	eggsize	0.035576708
RPP	PPR	eggsize	0.035576708
PPR	RPR	eggsize	0.002132564
RPR	PPR	eggsize	0.002132564
PPR	RR	eggsize	1.0
RR	PPR	eggsize	1.0
PPR	RRP	eggsize	0.98267769
RRP	PPR	eggsize	0.98267769
PPR	RRR	eggsize	1.0
RRR	PPR	eggsize	1.0
PPR	S	eggsize	0.00017257400000000002
S	PPR	eggsize	0.00017257400000000002
PPR	SS	eggsize	0.898748133
SS	PPR	eggsize	0.898748133
PPR	SSS	eggsize	1.0
SSS	PPR	eggsize	1.0
PR	PRP	eggsize	1.51e-06
PRP	PR	eggsize	1.51e-06
PR	PRR	eggsize	1.0
PRR	PR	eggsize	1.0
PR	R	eggsize	1.09e-10
R	PR	eggsize	1.09e-10
PR	RP	eggsize	1.0
RP	PR	eggsize	1.0
PR	RPP	eggsize	2.55e-05
RPP	PR	eggsize	2.55e-05
PR	RPR	eggsize	2.39e-07
RPR	PR	eggsize	2.39e-07
PR	RR	eggsize	1.0
RR	PR	eggsize	1.0
PR	RRP	eggsize	0.001890121
RRP	PR	eggsize	0.001890121
PR	RRR	eggsize	0.027200232999999997
RRR	PR	eggsize	0.027200232999999997
PR	S	eggsize	9.02e-09
S	PR	eggsize	9.02e-09
PR	SS	eggsize	0.0019364999999999999
SS	PR	eggsize	0.0019364999999999999
PR	SSS	eggsize	0.0025101520000000003
SSS	PR	eggsize	0.0025101520000000003
PRP	PRR	eggsize	0.22181625300000002
PRR	PRP	eggsize	0.22181625300000002
PRP	R	eggsize	1.0
R	PRP	eggsize	1.0
PRP	RP	eggsize	0.034303547000000004
RP	PRP	eggsize	0.034303547000000004
PRP	RPP	eggsize	1.0
RPP	PRP	eggsize	1.0
PRP	RPR	eggsize	1.0
RPR	PRP	eggsize	1.0
PRP	RR	eggsize	6.49e-06
RR	PRP	eggsize	6.49e-06
PRP	RRP	eggsize	1.0
RRP	PRP	eggsize	1.0
PRP	RRR	eggsize	1.0
RRR	PRP	eggsize	1.0
PRP	S	eggsize	1.0
S	PRP	eggsize	1.0
PRP	SS	eggsize	1.0
SS	PRP	eggsize	1.0
PRP	SSS	eggsize	1.0
SSS	PRP	eggsize	1.0
PRR	R	eggsize	0.00038119300000000005
R	PRR	eggsize	0.00038119300000000005
PRR	RP	eggsize	1.0
RP	PRR	eggsize	1.0
PRR	RPP	eggsize	0.821676822
RPP	PRR	eggsize	0.821676822
PRR	RPR	eggsize	0.120172376
RPR	PRR	eggsize	0.120172376
PRR	RR	eggsize	1.0
RR	PRR	eggsize	1.0
PRR	RRP	eggsize	1.0
RRP	PRR	eggsize	1.0
PRR	RRR	eggsize	1.0
RRR	PRR	eggsize	1.0
PRR	S	eggsize	0.015729248
S	PRR	eggsize	0.015729248
PRR	SS	eggsize	1.0
