gen	phenotype	value
P	mass	0.8
P	eggsize	123.14387938216149
P	winglength	1.431
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	196.17924496274762
P	winglength	1.4769999999999999
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	167.16902176151538
P	winglength	1.514
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	161.48071858714837
P	winglength	1.531
P	devL1A	13.5
P	devL1LP	9.5
P	devLPA	4.0
P	mass	1.5
P	eggsize	186.27939472666515
P	ovarno	25.0
P	winglength	1.535
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	140.616533538796
P	winglength	1.575
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	124.78879058205747
P	winglength	1.578
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	201.1619117846812
P	winglength	1.618
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	211.9534901415557
P	ovarno	14.0
P	winglength	1.6380000000000001
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	0.8
P	eggsize	224.34642519068703
P	winglength	1.64
P	devL1A	10.5
P	devL1LP	7.5
P	devLPA	3.0
P	mass	0.6
P	eggsize	84.60336290158054
P	ovarno	20.0
P	winglength	1.649
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
S	mass	1.4
S	eggsize	183.73255303731685
S	ovarno	36.0
S	winglength	1.67
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
P	mass	0.9
P	eggsize	190.1656058812245
P	winglength	1.679
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	219.23035517701987
P	winglength	1.6840000000000002
P	devL1A	11.5
P	devL1LP	6.5
P	devLPA	5.0
P	mass	1.2
P	eggsize	53.296199837236315
P	ovarno	19.0
P	winglength	1.689
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	121.75711308716141
P	winglength	1.6909999999999998
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	129.23094144538618
P	ovarno	20.0
P	winglength	1.696
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.5
P	eggsize	216.55123100577404
P	winglength	1.705
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	188.9499594558271
P	winglength	1.7069999999999999
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
S	mass	1.4
S	eggsize	135.72056244384473
S	winglength	1.715
S	devL1A	14.5
S	devL1LP	9.5
S	devLPA	5.0
P	mass	0.9
P	eggsize	188.58932289292252
P	winglength	1.719
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	122.24676440619095
P	winglength	1.722
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	116.0099526498344
P	winglength	1.7269999999999999
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	166.52900677819045
P	winglength	1.744
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	189.75643858787566
P	winglength	1.7469999999999999
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	62.4979671062908
P	winglength	1.7480000000000002
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	145.76481876645215
P	winglength	1.751
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	162.98758588131798
P	ovarno	14.0
P	winglength	1.755
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	115.59760570589928
P	winglength	1.755
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.6
P	eggsize	133.47406659567935
P	winglength	1.758
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	139.27428575787786
P	winglength	1.7719999999999998
P	devL1A	10.5
P	devL1LP	7.5
P	devLPA	3.0
P	mass	1.0
P	eggsize	141.25292701254148
P	winglength	1.776
P	devL1A	10.5
P	devL1LP	7.5
P	devLPA	3.0
P	mass	1.1
P	eggsize	187.7895267850708
P	ovarno	29.0
P	winglength	1.778
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.6
P	eggsize	113.93510352517909
P	winglength	1.778
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.4
P	eggsize	155.6511868614012
P	winglength	1.7790000000000001
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.5
P	eggsize	162.00328700481717
P	winglength	1.7819999999999998
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	127.66960064354002
P	winglength	1.784
P	devL1A	14.5
P	devL1LP	10.5
P	devLPA	4.0
P	mass	1.4
P	eggsize	281.011551715466
P	ovarno	23.0
P	winglength	1.786
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
S	mass	1.4
S	eggsize	226.02062778040653
S	ovarno	36.0
S	winglength	1.795
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
P	mass	1.3
P	eggsize	139.49479124638935
P	ovarno	24.0
P	winglength	1.796
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	126.8377454582585
P	winglength	1.7990000000000002
P	devL1A	11.5
P	devL1LP	6.5
P	devLPA	5.0
P	mass	1.0
P	eggsize	135.71983060093734
P	winglength	1.806
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	221.15589985314048
P	winglength	1.807
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.6
P	eggsize	91.31359438109035
P	winglength	1.807
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	176.97184889170134
P	ovarno	21.0
P	winglength	1.808
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	185.56256854390045
P	winglength	1.8090000000000002
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
R	mass	1.2
R	eggsize	201.38061712914384
R	winglength	1.81
R	devL1A	11.5
R	devL1LP	7.5
R	devLPA	4.0
P	mass	1.2
P	eggsize	110.79988497812771
P	ovarno	26.0
P	winglength	1.8119999999999998
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	0.9
P	eggsize	177.51264301260943
P	winglength	1.8119999999999998
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.4
P	eggsize	84.1037927287243
P	winglength	1.814
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	169.94419896483075
P	winglength	1.824
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	171.1526428425812
P	ovarno	25.0
P	winglength	1.83
P	devL1A	10.5
P	devL1LP	7.5
P	devLPA	3.0
P	mass	1.5
P	eggsize	189.875342141162
P	ovarno	27.0
P	winglength	1.831
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	180.10811086281086
P	ovarno	24.0
P	winglength	1.8359999999999999
P	devL1A	13.5
P	devL1LP	9.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	213.93992705015518
P	winglength	1.838
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	192.0179875455684
P	ovarno	31.0
P	winglength	1.84
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.5
P	eggsize	120.86754035794942
P	winglength	1.841
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	190.4135609235801
P	winglength	1.841
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	116.04841542557291
P	ovarno	17.0
P	winglength	1.8430000000000002
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
P	mass	1.1
P	eggsize	143.08338409481902
P	winglength	1.844
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	199.75182747041507
P	winglength	1.845
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	93.41988695084996
P	winglength	1.8530000000000002
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.2
P	eggsize	174.33954014275943
P	winglength	1.8530000000000002
P	devL1A	12.5
P	devL1LP	8.5
P	devLPA	4.0
P	mass	1.8
P	eggsize	133.17257546099916
P	winglength	1.8530000000000002
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	182.01471082255463
P	ovarno	33.0
P	winglength	1.854
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	163.4575503319467
P	ovarno	24.0
P	winglength	1.857
P	devL1A	11.5
P	devL1LP	8.5
P	devLPA	3.0
P	mass	1.4
P	eggsize	122.95656428519341
P	ovarno	28.0
P	winglength	1.859
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	71.13041386509623
P	ovarno	25.0
P	winglength	1.8619999999999999
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.0
P	eggsize	261.4958222468251
P	ovarno	22.0
P	winglength	1.8630000000000002
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	170.607323103792
P	winglength	1.8630000000000002
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.7
P	eggsize	139.18638880619608
P	ovarno	25.0
